run_index,gripper_state,state_value,run_length_frames
119,close,-1.0,46
120,open,1.0,27
121,close,-1.0,30
122,open,1.0,41
123,close,-1.0,41
124,open,1.0,52
125,close,-1.0,33
126,open,1.0,62
127,close,-1.0,55
128,open,1.0,52
129,close,-1.0,52
130,open,1.0,44
131,close,-1.0,39
132,open,1.0,37
133,close,-1.0,40
134,open,1.0,37
135,close,-1.0,33
136,open,1.0,79
137,close,-1.0,29
138,open,1.0,50
139,close,-1.0,44
140,open,1.0,29
141,close,-1.0,29
142,open,1.0,33
143,close,-1.0,29
144,open,1.0,33
145,close,-1.0,29
146,open,1.0,58
147,close,-1.0,29
148,open,1.0,49
149,close,-1.0,30
150,open,1.0,33
151,close,-1.0,35
152,open,1.0,67
153,close,-1.0,31
154,open,1.0,54
155,close,-1.0,39
156,open,1.0,95
157,close,-1.0,51
158,open,1.0,70
159,close,-1.0,37
160,open,1.0,39
161,close,-1.0,43
162,open,1.0,26
163,close,-1.0,52
164,open,1.0,372
165,close,-1.0,35
166,open,1.0,46
167,close,-1.0,29
168,open,1.0,71
169,close,-1.0,30
170,open,1.0,46
171,close,-1.0,38
172,open,1.0,43
173,close,-1.0,36
174,open,1.0,35
175,close,-1.0,42
176,open,1.0,29
177,close,-1.0,50
178,open,1.0,14
179,close,-1.0,39
180,open,1.0,20
181,close,-1.0,46
182,open,1.0,12
183,close,-1.0,43
184,open,1.0,13
185,close,-1.0,44
186,open,1.0,36
187,close,-1.0,38
188,open,1.0,48
189,close,-1.0,49
190,open,1.0,62
191,close,-1.0,35
192,open,1.0,79
193,close,-1.0,48
194,open,1.0,77
195,close,-1.0,20
196,open,1.0,121
197,close,-1.0,18
198,open,1.0,43
199,close,-1.0,37
200,open,1.0,32
201,close,-1.0,22
202,open,1.0,74
203,close,-1.0,28
204,open,1.0,49
205,close,-1.0,40
206,open,1.0,41
207,close,-1.0,33
208,open,1.0,45
209,close,-1.0,40
210,open,1.0,57
211,close,-1.0,40
212,open,1.0,62
213,close,-1.0,70
214,open,1.0,33
215,close,-1.0,22
216,open,1.0,54
217,close,-1.0,24
218,open,1.0,57
219,close,-1.0,25
220,open,1.0,42
221,close,-1.0,26
222,open,1.0,55
223,close,-1.0,30
224,open,1.0,49
225,close,-1.0,36
226,open,1.0,57
227,close,-1.0,39
228,open,1.0,82
229,close,-1.0,27
230,open,1.0,43
231,close,-1.0,29
232,open,1.0,46
233,close,-1.0,36
234,open,1.0,57
235,close,-1.0,38
236,open,1.0,61
237,close,-1.0,58
238,open,1.0,77
239,close,-1.0,45
240,open,1.0,51
241,close,-1.0,42
242,open,1.0,56
243,close,-1.0,29
244,open,1.0,39
245,close,-1.0,36
246,open,1.0,60
247,close,-1.0,27
248,open,1.0,36
249,close,-1.0,27
250,open,1.0,45
251,close,-1.0,53
252,open,1.0,54
253,close,-1.0,45
254,open,1.0,38
255,close,-1.0,44
256,open,1.0,55
257,close,-1.0,49
258,open,1.0,31
259,close,-1.0,55
260,open,1.0,43
261,close,-1.0,28
262,open,1.0,75
263,close,-1.0,30
264,open,1.0,56
265,close,-1.0,43
266,open,1.0,49
267,close,-1.0,47
268,open,1.0,51
269,close,-1.0,35
270,open,1.0,38
271,close,-1.0,31
272,open,1.0,50
273,close,-1.0,41
274,open,1.0,30
275,close,-1.0,26
276,open,1.0,59
277,close,-1.0,63
278,open,1.0,49
279,close,-1.0,34
280,open,1.0,20
281,close,-1.0,35
282,open,1.0,10
283,close,-1.0,34
284,open,1.0,32
285,close,-1.0,24
286,open,1.0,60
287,close,-1.0,39
288,open,1.0,61
289,close,-1.0,45
290,open,1.0,86
291,close,-1.0,45
292,open,1.0,36
293,close,-1.0,24
294,open,1.0,45
295,close,-1.0,27
296,open,1.0,57
297,close,-1.0,26
298,open,1.0,32
299,close,-1.0,38
300,open,1.0,82
301,close,-1.0,61
302,open,1.0,33
303,close,-1.0,27
304,open,1.0,45
305,close,-1.0,35
306,open,1.0,51
307,close,-1.0,30
308,open,1.0,38
309,close,-1.0,34
310,open,1.0,56
311,close,-1.0,40
312,open,1.0,41
313,close,-1.0,33
314,open,1.0,65
315,close,-1.0,39
316,open,1.0,21
317,close,-1.0,43
318,open,1.0,27
319,close,-1.0,37
320,open,1.0,51
321,close,-1.0,45
322,open,1.0,35
323,close,-1.0,48
324,open,1.0,53
325,close,-1.0,39
326,open,1.0,46
327,close,-1.0,54
328,open,1.0,49
329,close,-1.0,26
330,open,1.0,31
331,close,-1.0,49
332,open,1.0,48
333,close,-1.0,28
334,open,1.0,46
335,close,-1.0,30
336,open,1.0,36
337,close,-1.0,22
338,open,1.0,27
339,close,-1.0,16
340,open,1.0,43
341,close,-1.0,25
342,open,1.0,48
343,close,-1.0,27
344,open,1.0,26
345,close,-1.0,28
346,open,1.0,47
347,close,-1.0,58
348,open,1.0,35
349,close,-1.0,43
350,open,1.0,39
351,close,-1.0,39
352,open,1.0,44
353,close,-1.0,49
354,open,1.0,57
355,close,-1.0,23
356,open,1.0,147
357,close,-1.0,35
358,open,1.0,97
359,close,-1.0,46
360,open,1.0,79
361,close,-1.0,56
362,open,1.0,78
363,close,-1.0,48
364,open,1.0,32
365,close,-1.0,23
366,open,1.0,42
367,close,-1.0,41
368,open,1.0,25
369,close,-1.0,107
370,open,1.0,62
371,close,-1.0,44
372,open,1.0,79
373,close,-1.0,36
374,open,1.0,107
375,close,-1.0,35
376,open,1.0,84
377,close,-1.0,44
378,open,1.0,41
379,close,-1.0,43
380,open,1.0,14
381,close,-1.0,29
382,open,1.0,58
383,close,-1.0,22
384,open,1.0,40
385,close,-1.0,15
386,open,1.0,66
387,close,-1.0,38
388,open,1.0,50
389,close,-1.0,25
390,open,1.0,63
391,close,-1.0,54
392,open,1.0,57
393,close,-1.0,44
394,open,1.0,82
395,close,-1.0,30
396,open,1.0,37
397,close,-1.0,36
398,open,1.0,60
399,close,-1.0,39
400,open,1.0,40
401,close,-1.0,50
402,open,1.0,55
403,close,-1.0,36
404,open,1.0,65
405,close,-1.0,34
406,open,1.0,75
407,close,-1.0,49
408,open,1.0,44
409,close,-1.0,41
410,open,1.0,51
411,close,-1.0,39
412,open,1.0,80
413,close,-1.0,42
414,open,1.0,56
415,close,-1.0,38
416,open,1.0,35
417,close,-1.0,41
418,open,1.0,43
419,close,-1.0,34
420,open,1.0,53
421,close,-1.0,35
422,open,1.0,51
423,close,-1.0,46
424,open,1.0,102
425,close,-1.0,38
426,open,1.0,59
427,close,-1.0,32
428,open,1.0,42
429,close,-1.0,32
430,open,1.0,54
431,close,-1.0,42
432,open,1.0,30
433,close,-1.0,30
434,open,1.0,43
435,close,-1.0,43
436,open,1.0,68
437,close,-1.0,44
438,open,1.0,70
439,close,-1.0,40
440,open,1.0,23
441,close,-1.0,26
442,open,1.0,38
443,close,-1.0,32
444,open,1.0,34
445,close,-1.0,28
446,open,1.0,51
447,close,-1.0,29
448,open,1.0,71
449,close,-1.0,59
450,open,1.0,28
451,close,-1.0,30
452,open,1.0,21
453,close,-1.0,21
454,open,1.0,32
455,close,-1.0,57
456,open,1.0,48
457,close,-1.0,27
458,open,1.0,33
459,close,-1.0,52
460,open,1.0,70
461,close,-1.0,49
462,open,1.0,42
463,close,-1.0,58
464,open,1.0,63
465,close,-1.0,39
466,open,1.0,41
467,close,-1.0,39
468,open,1.0,26
469,close,-1.0,26
470,open,1.0,89
471,close,-1.0,69
472,open,1.0,34
473,close,-1.0,46
474,open,1.0,30
475,close,-1.0,35
476,open,1.0,48
477,close,-1.0,33
478,open,1.0,53
479,close,-1.0,25
480,open,1.0,78
481,close,-1.0,46
482,open,1.0,65
483,close,-1.0,44
484,open,1.0,38
485,close,-1.0,23
486,open,1.0,18
487,close,-1.0,25
488,open,1.0,46
489,close,-1.0,41
490,open,1.0,57
491,close,-1.0,38
492,open,1.0,70
493,close,-1.0,45
494,open,1.0,42
495,close,-1.0,44
496,open,1.0,45
497,close,-1.0,38
498,open,1.0,19
499,close,-1.0,26
500,open,1.0,60
501,close,-1.0,31
502,open,1.0,69
503,close,-1.0,33
504,open,1.0,70
505,close,-1.0,34
506,open,1.0,57
507,close,-1.0,43
508,open,1.0,88
509,close,-1.0,34
510,open,1.0,27
511,close,-1.0,30
512,open,1.0,41
513,close,-1.0,33
514,open,1.0,56
515,close,-1.0,42
516,open,1.0,53
517,close,-1.0,44
518,open,1.0,67
519,close,-1.0,57
520,open,1.0,62
521,close,-1.0,43
522,open,1.0,56
523,close,-1.0,44
524,open,1.0,53
525,close,-1.0,45
526,open,1.0,50
527,close,-1.0,45
528,open,1.0,35
529,close,-1.0,17
530,open,1.0,33
531,close,-1.0,33
532,open,1.0,52
533,close,-1.0,38
534,open,1.0,58
535,close,-1.0,49
536,open,1.0,37
537,close,-1.0,37
538,open,1.0,86
539,close,-1.0,25
540,open,1.0,44
541,close,-1.0,26
542,open,1.0,60
543,close,-1.0,23
544,open,1.0,78
545,close,-1.0,36
546,open,1.0,52
547,close,-1.0,38
548,open,1.0,44
549,close,-1.0,50
550,open,1.0,60
551,close,-1.0,32
552,open,1.0,102
553,close,-1.0,62
554,open,1.0,56
555,close,-1.0,38
556,open,1.0,52
557,close,-1.0,33
558,open,1.0,50
559,close,-1.0,32
560,open,1.0,112
561,close,-1.0,32
562,open,1.0,41
563,close,-1.0,37
564,open,1.0,44
565,close,-1.0,31
566,open,1.0,40
567,close,-1.0,44
568,open,1.0,71
569,close,-1.0,37
570,open,1.0,41
571,close,-1.0,30
572,open,1.0,42
573,close,-1.0,39
574,open,1.0,44
575,close,-1.0,27
576,open,1.0,48
577,close,-1.0,43
578,open,1.0,48
579,close,-1.0,29
580,open,1.0,40
581,close,-1.0,32
582,open,1.0,37
583,close,-1.0,26
584,open,1.0,68
585,close,-1.0,30
586,open,1.0,67
587,close,-1.0,32
588,open,1.0,60
589,close,-1.0,45
590,open,1.0,46
591,close,-1.0,39
592,open,1.0,52
593,close,-1.0,32
594,open,1.0,60
595,close,-1.0,34
596,open,1.0,76
597,close,-1.0,31
598,open,1.0,67
599,close,-1.0,51
600,open,1.0,46
601,close,-1.0,38
602,open,1.0,53
603,close,-1.0,41
604,open,1.0,43
605,close,-1.0,34
606,open,1.0,58
607,close,-1.0,51
608,open,1.0,69
609,close,-1.0,27
610,open,1.0,36
611,close,-1.0,25
612,open,1.0,56
613,close,-1.0,43
614,open,1.0,51
615,close,-1.0,36
616,open,1.0,41
617,close,-1.0,33
618,open,1.0,46
619,close,-1.0,38
620,open,1.0,30
621,close,-1.0,45
622,open,1.0,29
623,close,-1.0,25
624,open,1.0,29
625,close,-1.0,37
626,open,1.0,29
627,close,-1.0,57
628,open,1.0,56
629,close,-1.0,37
630,open,1.0,41
631,close,-1.0,29
632,open,1.0,57
633,close,-1.0,33
634,open,1.0,59
635,close,-1.0,40
636,open,1.0,46
637,close,-1.0,46
638,open,1.0,42
639,close,-1.0,24
640,open,1.0,20
641,close,-1.0,31
642,open,1.0,36
643,close,-1.0,31
644,open,1.0,46
645,close,-1.0,33
646,open,1.0,56
647,close,-1.0,33
648,open,1.0,48
649,close,-1.0,25
650,open,1.0,66
651,close,-1.0,25
652,open,1.0,59
653,close,-1.0,43
654,open,1.0,30
655,close,-1.0,32
656,open,1.0,47
657,close,-1.0,41
658,open,1.0,51
659,close,-1.0,28
660,open,1.0,79
661,close,-1.0,56
662,open,1.0,54
663,close,-1.0,45
664,open,1.0,48
665,close,-1.0,44
666,open,1.0,48
667,close,-1.0,48
668,open,1.0,27
669,close,-1.0,32
670,open,1.0,27
671,close,-1.0,57
672,open,1.0,36
673,close,-1.0,37
674,open,1.0,46
675,close,-1.0,60
676,open,1.0,66
677,close,-1.0,39
678,open,1.0,33
679,close,-1.0,34
680,open,1.0,68
681,close,-1.0,38
682,open,1.0,40
683,close,-1.0,21
684,open,1.0,35
685,close,-1.0,21
686,open,1.0,55
687,close,-1.0,31
688,open,1.0,57
689,close,-1.0,21
690,open,1.0,32
691,close,-1.0,14
692,open,1.0,53
693,close,-1.0,39
694,open,1.0,76
695,close,-1.0,34
696,open,1.0,36
697,close,-1.0,25
698,open,1.0,53
699,close,-1.0,37
700,open,1.0,41
701,close,-1.0,29
702,open,1.0,105
703,close,-1.0,104
704,open,1.0,117
705,close,-1.0,27
706,open,1.0,63
707,close,-1.0,45
708,open,1.0,40
709,close,-1.0,27
710,open,1.0,72
711,close,-1.0,31
712,open,1.0,78
713,close,-1.0,43
714,open,1.0,46
715,close,-1.0,43
716,open,1.0,27
717,close,-1.0,35
718,open,1.0,38
719,close,-1.0,28
720,open,1.0,68
721,close,-1.0,24
722,open,1.0,31
723,close,-1.0,28
724,open,1.0,61
725,close,-1.0,19
726,open,1.0,97
727,close,-1.0,16
728,open,1.0,64
729,close,-1.0,34
730,open,1.0,146
731,close,-1.0,28
732,open,1.0,61
733,close,-1.0,44
734,open,1.0,47
735,close,-1.0,28
736,open,1.0,57
737,close,-1.0,32
738,open,1.0,60
739,close,-1.0,27
740,open,1.0,45
741,close,-1.0,32
742,open,1.0,86
743,close,-1.0,31
744,open,1.0,38
745,close,-1.0,21
746,open,1.0,55
747,close,-1.0,27
748,open,1.0,59
749,close,-1.0,52
750,open,1.0,26
751,close,-1.0,34
752,open,1.0,29
753,close,-1.0,24
754,open,1.0,41
755,close,-1.0,14
756,open,1.0,145
757,close,-1.0,54
758,open,1.0,66
759,close,-1.0,24
760,open,1.0,86
761,close,-1.0,47
762,open,1.0,49
763,close,-1.0,25
764,open,1.0,49
765,close,-1.0,35
766,open,1.0,46
767,close,-1.0,43
768,open,1.0,59
769,close,-1.0,42
770,open,1.0,45
771,close,-1.0,42
772,open,1.0,51
773,close,-1.0,38
774,open,1.0,33
775,close,-1.0,30
776,open,1.0,52
777,close,-1.0,33
778,open,1.0,38
779,close,-1.0,24
780,open,1.0,75
781,close,-1.0,43
782,open,1.0,49
783,close,-1.0,25
784,open,1.0,31
785,close,-1.0,29
786,open,1.0,39
787,close,-1.0,54
788,open,1.0,44
789,close,-1.0,45
790,open,1.0,35
791,close,-1.0,51
792,open,1.0,37
793,close,-1.0,36
794,open,1.0,43
795,close,-1.0,28
796,open,1.0,22
797,close,-1.0,23
798,open,1.0,38
799,close,-1.0,20
800,open,1.0,36
801,close,-1.0,43
802,open,1.0,42
803,close,-1.0,21
804,open,1.0,65
805,close,-1.0,30
806,open,1.0,52
807,close,-1.0,28
808,open,1.0,17
809,close,-1.0,33
810,open,1.0,35
811,close,-1.0,36
812,open,1.0,45
813,close,-1.0,38
814,open,1.0,31
815,close,-1.0,25
816,open,1.0,30
817,close,-1.0,50
818,open,1.0,37
819,close,-1.0,37
820,open,1.0,43
821,close,-1.0,25
822,open,1.0,64
823,close,-1.0,32
824,open,1.0,62
825,close,-1.0,27
826,open,1.0,32
827,close,-1.0,23
828,open,1.0,41
829,close,-1.0,26
830,open,1.0,64
831,close,-1.0,38
832,open,1.0,38
833,close,-1.0,24
834,open,1.0,44
835,close,-1.0,32
836,open,1.0,40
837,close,-1.0,30
838,open,1.0,47
839,close,-1.0,36
840,open,1.0,57
841,close,-1.0,33
842,open,1.0,55
843,close,-1.0,34
844,open,1.0,75
845,close,-1.0,34
846,open,1.0,53
847,close,-1.0,35
848,open,1.0,72
849,close,-1.0,31
850,open,1.0,75
851,close,-1.0,42
852,open,1.0,37
853,close,-1.0,37
854,open,1.0,29
855,close,-1.0,39
856,open,1.0,34
857,close,-1.0,29
858,open,1.0,50
859,close,-1.0,29
860,open,1.0,64
861,close,-1.0,32
862,open,1.0,51
863,close,-1.0,42
864,open,1.0,44
865,close,-1.0,39
866,open,1.0,10
867,close,-1.0,22
868,open,1.0,96
869,close,-1.0,37
870,open,1.0,57
871,close,-1.0,26
872,open,1.0,26
873,close,-1.0,18
874,open,1.0,66
875,close,-1.0,34
876,open,1.0,46
877,close,-1.0,31
878,open,1.0,22
879,close,-1.0,34
880,open,1.0,41
881,close,-1.0,27
882,open,1.0,55
883,close,-1.0,24
884,open,1.0,56
885,close,-1.0,30
886,open,1.0,59
887,close,-1.0,32
888,open,1.0,44
889,close,-1.0,33
890,open,1.0,73
891,close,-1.0,41
892,open,1.0,29
893,close,-1.0,24
894,open,1.0,62
895,close,-1.0,29
896,open,1.0,36
897,close,-1.0,25
898,open,1.0,48
899,close,-1.0,38
900,open,1.0,21
901,close,-1.0,25
902,open,1.0,51
903,close,-1.0,35
904,open,1.0,42
905,close,-1.0,34
906,open,1.0,33
907,close,-1.0,26
908,open,1.0,42
909,close,-1.0,33
910,open,1.0,79
911,close,-1.0,28
912,open,1.0,27
913,close,-1.0,41
914,open,1.0,57
915,close,-1.0,31
916,open,1.0,58
917,close,-1.0,30
918,open,1.0,29
919,close,-1.0,51
920,open,1.0,62
921,close,-1.0,35
922,open,1.0,52
923,close,-1.0,36
924,open,1.0,58
925,close,-1.0,34
926,open,1.0,27
927,close,-1.0,44
928,open,1.0,58
929,close,-1.0,38
930,open,1.0,62
931,close,-1.0,21
932,open,1.0,36
933,close,-1.0,33
934,open,1.0,53
935,close,-1.0,31
936,open,1.0,75
937,close,-1.0,38
938,open,1.0,58
939,close,-1.0,33
940,open,1.0,54
941,close,-1.0,43
942,open,1.0,42
943,close,-1.0,27
944,open,1.0,22
945,close,-1.0,29
946,open,1.0,40
947,close,-1.0,21
948,open,1.0,61
949,close,-1.0,33
950,open,1.0,42
951,close,-1.0,35
952,open,1.0,49
953,close,-1.0,24
954,open,1.0,104
955,close,-1.0,51
956,open,1.0,18
957,close,-1.0,24
958,open,1.0,45
959,close,-1.0,33
960,open,1.0,44
961,close,-1.0,26
962,open,1.0,51
963,close,-1.0,34
964,open,1.0,34
965,close,-1.0,26
966,open,1.0,84
967,close,-1.0,34
968,open,1.0,55
969,close,-1.0,28
970,open,1.0,59
971,close,-1.0,47
972,open,1.0,111
973,close,-1.0,17
974,open,1.0,32
975,close,-1.0,39
976,open,1.0,55
977,close,-1.0,28
978,open,1.0,65
979,close,-1.0,30
980,open,1.0,36
981,close,-1.0,32
982,open,1.0,50
983,close,-1.0,43
984,open,1.0,43
985,close,-1.0,30
986,open,1.0,39
987,close,-1.0,27
988,open,1.0,44
989,close,-1.0,28
990,open,1.0,41
991,close,-1.0,36
992,open,1.0,43
993,close,-1.0,27
994,open,1.0,20
995,close,-1.0,32
996,open,1.0,74
997,close,-1.0,35
998,open,1.0,51
999,close,-1.0,36
1000,open,1.0,47
1001,close,-1.0,31
1002,open,1.0,26
1003,close,-1.0,30
1004,open,1.0,53
1005,close,-1.0,38
1006,open,1.0,43
1007,close,-1.0,52
1008,open,1.0,41
1009,close,-1.0,37
1010,open,1.0,58
1011,close,-1.0,31
1012,open,1.0,57
1013,close,-1.0,32
1014,open,1.0,52
1015,close,-1.0,23
1016,open,1.0,68
1017,close,-1.0,31
1018,open,1.0,38
1019,close,-1.0,26
1020,open,1.0,30
1021,close,-1.0,27
1022,open,1.0,40
1023,close,-1.0,47
1024,open,1.0,60
1025,close,-1.0,37
1026,open,1.0,35
1027,close,-1.0,26
1028,open,1.0,48
1029,close,-1.0,35
1030,open,1.0,61
1031,close,-1.0,28
1032,open,1.0,65
1033,close,-1.0,32
1034,open,1.0,50
1035,close,-1.0,26
1036,open,1.0,60
1037,close,-1.0,55
1038,open,1.0,122
1039,close,-1.0,50
1040,open,1.0,66
1041,close,-1.0,63
1042,open,1.0,34
1043,close,-1.0,24
1044,open,1.0,50
1045,close,-1.0,24
1046,open,1.0,46
1047,close,-1.0,43
1048,open,1.0,72
1049,close,-1.0,38
1050,open,1.0,59
1051,close,-1.0,42
1052,open,1.0,40
1053,close,-1.0,32
1054,open,1.0,72
1055,close,-1.0,50
1056,open,1.0,51
1057,close,-1.0,20
1058,open,1.0,57
1059,close,-1.0,33
1060,open,1.0,36
1061,close,-1.0,24
1062,open,1.0,37
1063,close,-1.0,30
1064,open,1.0,65
1065,close,-1.0,38
1066,open,1.0,26
1067,close,-1.0,27
1068,open,1.0,53
1069,close,-1.0,29
1070,open,1.0,63
1071,close,-1.0,39
1072,open,1.0,39
1073,close,-1.0,31
1074,open,1.0,40
1075,close,-1.0,42
1076,open,1.0,43
1077,close,-1.0,34
1078,open,1.0,54
1079,close,-1.0,45
1080,open,1.0,82
1081,close,-1.0,80
1082,open,1.0,36
1083,close,-1.0,37
1084,open,1.0,45
1085,close,-1.0,26
1086,open,1.0,31
1087,close,-1.0,31
1088,open,1.0,66
1089,close,-1.0,41
1090,open,1.0,48
1091,close,-1.0,31
1092,open,1.0,43
1093,close,-1.0,17
1094,open,1.0,28
1095,close,-1.0,18
1096,open,1.0,45
1097,close,-1.0,26
1098,open,1.0,74
1099,close,-1.0,28
1100,open,1.0,38
1101,close,-1.0,23
1102,open,1.0,18
1103,close,-1.0,27
1104,open,1.0,41
1105,close,-1.0,44
1106,open,1.0,30
1107,close,-1.0,25
1108,open,1.0,43
1109,close,-1.0,46
1110,open,1.0,35
1111,close,-1.0,26
1112,open,1.0,36
1113,close,-1.0,24
1114,open,1.0,29
1115,close,-1.0,23
1116,open,1.0,31
1117,close,-1.0,24
1118,open,1.0,32
1119,close,-1.0,38
1120,open,1.0,26
1121,close,-1.0,39
1122,open,1.0,60
1123,close,-1.0,40
1124,open,1.0,32
1125,close,-1.0,28
1126,open,1.0,22
1127,close,-1.0,27
1128,open,1.0,56
1129,close,-1.0,37
1130,open,1.0,46
1131,close,-1.0,20
1132,open,1.0,57
1133,close,-1.0,30
1134,open,1.0,59
1135,close,-1.0,26
1136,open,1.0,42
1137,close,-1.0,33
1138,open,1.0,29
1139,close,-1.0,43
1140,open,1.0,33
1141,close,-1.0,29
1142,open,1.0,20
1143,close,-1.0,23
1144,open,1.0,42
1145,close,-1.0,46
1146,open,1.0,92
1147,close,-1.0,36
1148,open,1.0,43
1149,close,-1.0,32
1150,open,1.0,37
1151,close,-1.0,34
1152,open,1.0,65
1153,close,-1.0,51
1154,open,1.0,51
1155,close,-1.0,21
1156,open,1.0,32
1157,close,-1.0,22
1158,open,1.0,46
1159,close,-1.0,35
1160,open,1.0,53
1161,close,-1.0,48
1162,open,1.0,66
1163,close,-1.0,39
1164,open,1.0,43
1165,close,-1.0,22
1166,open,1.0,46
1167,close,-1.0,28
1168,open,1.0,20
1169,close,-1.0,36
1170,open,1.0,50
1171,close,-1.0,40
1172,open,1.0,76
1173,close,-1.0,28
1174,open,1.0,28
1175,close,-1.0,23
1176,open,1.0,41
1177,close,-1.0,43
1178,open,1.0,63
1179,close,-1.0,33
1180,open,1.0,50
1181,close,-1.0,33
1182,open,1.0,32
1183,close,-1.0,22
1184,open,1.0,31
1185,close,-1.0,28
1186,open,1.0,93
1187,close,-1.0,30
1188,open,1.0,88
1189,close,-1.0,32
1190,open,1.0,69
1191,close,-1.0,18
1192,open,1.0,35
1193,close,-1.0,36
1194,open,1.0,62
1195,close,-1.0,29
1196,open,1.0,72
1197,close,-1.0,25
1198,open,1.0,48
1199,close,-1.0,33
1200,open,1.0,38
1201,close,-1.0,46
1202,open,1.0,82
1203,close,-1.0,30
1204,open,1.0,64
1205,close,-1.0,23
1206,open,1.0,28
1207,close,-1.0,21
1208,open,1.0,42
1209,close,-1.0,37
1210,open,1.0,51
1211,close,-1.0,20
1212,open,1.0,57
1213,close,-1.0,45
1214,open,1.0,39
1215,close,-1.0,40
1216,open,1.0,40
1217,close,-1.0,28
1218,open,1.0,37
1219,close,-1.0,43
1220,open,1.0,43
1221,close,-1.0,23
1222,open,1.0,47
1223,close,-1.0,39
1224,open,1.0,19
1225,close,-1.0,33
1226,open,1.0,17
1227,close,-1.0,30
1228,open,1.0,47
1229,close,-1.0,32
1230,open,1.0,71
1231,close,-1.0,45
1232,open,1.0,21
1233,close,-1.0,37
1234,open,1.0,46
1235,close,-1.0,43
1236,open,1.0,32
1237,close,-1.0,41
1238,open,1.0,108
1239,close,-1.0,26
1240,open,1.0,45
1241,close,-1.0,39
1242,open,1.0,47
1243,close,-1.0,24
1244,open,1.0,36
1245,close,-1.0,41
1246,open,1.0,40
1247,close,-1.0,71
1248,open,1.0,29
1249,close,-1.0,21
1250,open,1.0,65
1251,close,-1.0,32
1252,open,1.0,49
1253,close,-1.0,40
1254,open,1.0,56
1255,close,-1.0,32
1256,open,1.0,50
1257,close,-1.0,62
1258,open,1.0,52
1259,close,-1.0,56
1260,open,1.0,43
1261,close,-1.0,37
1262,open,1.0,54
1263,close,-1.0,27
1264,open,1.0,54
1265,close,-1.0,31
1266,open,1.0,22
1267,close,-1.0,27
1268,open,1.0,51
1269,close,-1.0,34
1270,open,1.0,58
1271,close,-1.0,21
1272,open,1.0,60
1273,close,-1.0,21
1274,open,1.0,38
1275,close,-1.0,37
1276,open,1.0,69
1277,close,-1.0,50
1278,open,1.0,83
1279,close,-1.0,40
1280,open,1.0,35
1281,close,-1.0,21
1282,open,1.0,57
1283,close,-1.0,45
1284,open,1.0,95
1285,close,-1.0,53
1286,open,1.0,81
1287,close,-1.0,39
1288,open,1.0,47
1289,close,-1.0,38
1290,open,1.0,52
1291,close,-1.0,37
1292,open,1.0,68
1293,close,-1.0,33
1294,open,1.0,58
1295,close,-1.0,31
1296,open,1.0,55
1297,close,-1.0,44
1298,open,1.0,44
1299,close,-1.0,43
