episode_index,split,environment,source_split,raw_segment_id,raw_episode_id,raw_episode_start,raw_episode_end,segment_start,segment_end,segment_length,task_name,language_text,language_embedding_dim,language_embedding_sha1,max_valid_actions_from_first_frame,requires_action_padding_for_chunk
32,train,B,training,102,25,123655,144539,123660,123696,37,move_slider_left,move the door to the left side,384,51a3efeec060bc3590b7714e95b38e22860c6177,37,1
33,train,B,training,113,26,144540,152167,145936,146000,65,lift_red_block_table,pick up the red block,384,179fc405814032f2445ca22656b5b74f5b0c980f,65,1
34,train,B,training,114,61,456757,500843,497788,497830,43,turn_off_led,toggle the button to turn off the led,384,91a00439625e1e10a60ac0a2f4434a22e33fc39e,43,1
35,train,B,training,115,3,9790,20069,19819,19883,65,rotate_blue_block_left,"grasp the blue block, then turn it left",384,b325a37d3fa8d03c19e2ccc2163ee63d50cf851e,65,1
36,train,B,training,116,26,144540,152167,147147,147211,65,lift_blue_block_drawer,go towards the blue block in the drawer and lift it,384,c273bef3a05f8387d8561e5edac9d512902b88e7,65,1
37,train,B,training,125,26,144540,152167,148451,148515,65,open_drawer,open the cabinet drawer,384,c6d583bc5ff9778e4aa80e7d3d77741ce21e9310,65,1
38,train,B,training,131,38,212691,218800,214847,214911,65,lift_red_block_slider,lift the red block lying in the cabinet,384,174a5cf1cce81003bd149c71f783c9ee659103e6,65,1
39,train,B,training,132,62,500844,532402,520226,520269,44,place_in_drawer,place the grasped object in the drawer,384,307c87fbd8035964dc25aa66d2b5cc28a5ff5a6d,44,1
40,train,B,training,133,49,289412,291365,290929,290993,65,rotate_blue_block_left,turn the blue block left,384,9725253cdce0d5578eb124e62fa310766b4c9323,65,1
41,train,B,training,136,19,85088,94884,87690,87754,65,open_drawer,"grasp the handle of the drawer, then open it",384,a5af5fbe486f11ece927c30457a126410dc8e055,65,1
42,train,B,training,141,43,239943,244738,243423,243487,65,lift_red_block_table,"grasp the red block on the table, then lift it up",384,2d9221ef21de050b2f10f4cb75a426d22f35a6d2,65,1
43,train,B,training,144,55,356202,398271,383839,383903,65,open_drawer,"grasp the handle of the drawer, then open it",384,a5af5fbe486f11ece927c30457a126410dc8e055,65,1
44,train,B,training,145,53,322958,349180,323311,323375,65,rotate_red_block_left,"grasp the red block, then rotate it left",384,8b040d1a769b3321f487d0c8c9e8105f4779d115,65,1
45,train,B,training,146,59,435435,451284,448739,448784,46,lift_blue_block_slider,pick up the blue block from the shelf,384,d715fc166832b128e30f201670229a0cb0366cd4,46,1
46,train,B,training,152,65,589423,596230,591555,591619,65,lift_pink_block_drawer,lift the pink block lying in the drawer,384,5b2d18de9334deea50cea1d06a8a0037e2c4c658,65,1
47,train,B,training,153,26,144540,152167,147305,147369,65,lift_pink_block_drawer,grasp the pink block lying in the drawer,384,18a8597e96b2f4d8835418433b991ea18a4bcef4,65,1
48,train,B,training,155,64,565778,589422,578631,578695,65,lift_pink_block_drawer,lift the pink block lying in the drawer,384,5b2d18de9334deea50cea1d06a8a0037e2c4c658,65,1
49,train,B,training,157,15,66823,72875,69420,69484,65,move_slider_right,"grasp the door handle, then slide the door to the right",384,efb8b53c1f3ee275a5ffd1ed3260edca41cc41c6,65,1
50,train,B,training,158,19,85088,94884,90145,90209,65,place_in_slider,place the object in the cabinet,384,549598da9ffc5977dc2ecb458d7bf0ecd74a534f,65,1
51,train,B,training,160,48,272233,289411,287191,287230,40,move_slider_left,"grasp the door handle, then slide the door to the left",384,fcbb69e4e712211f1f5c969731d6ef80ff47ab83,40,1
52,train,B,training,161,50,291366,300898,295233,295297,65,rotate_pink_block_left,take the pink block and rotate it left,384,3258a8511db67bf1e336c7818a297d295aa6c711,65,1
53,train,B,training,162,48,272233,289411,272233,272297,65,open_drawer,go open the drawer,384,b98c81ce39d4d17fab4df3862030810e0a44c909,65,1
54,train,B,training,163,27,152168,153961,153344,153408,65,lift_pink_block_slider,grasp the pink block lying in the cabinet,384,c9efacadd1467f9e3900493c61a3b14458568476,65,1
55,train,B,training,164,18,79401,85087,84520,84584,65,lift_red_block_table,"grasp the red block, then lift it up",384,693841e449e77f26fd3cefa3130391d8935abc3a,65,1
56,train,B,training,173,64,565778,589422,573457,573521,65,turn_off_led,push the button to turn off the green light,384,4774be68e04df8891e9dc444564c587e8d1de841,65,1
57,train,B,training,175,63,532403,565777,561046,561110,65,move_slider_right,push the door to the right,384,0190ffb53be0362f077bcb89d5435f0996924943,65,1
58,train,B,training,179,62,500844,532402,524958,525022,65,lift_blue_block_table,grasp the blue block and lift it up,384,ecc936adabfacb0a5c5d903315f201b5a0544cb3,65,1
59,train,B,training,180,55,356202,398271,378322,378386,65,lift_blue_block_slider,lift the blue block lying in the sliding cabinet,384,1214c9637f7244321177a06531b9882ead19a520,65,1
60,train,B,training,181,63,532403,565777,562295,562359,65,move_slider_left,move the door all the way to the left,384,9a5f02a05021e34a301ae36b48b3df5f8698903e,65,1
61,train,B,training,183,53,322958,349180,325573,325637,65,open_drawer,go open the drawer,384,b98c81ce39d4d17fab4df3862030810e0a44c909,65,1
62,train,B,training,186,62,500844,532402,523052,523096,45,lift_pink_block_drawer,pick up the pink block lying in the drawer,384,5f84841c084afb29fe35df679fa32817b187029f,45,1
63,train,B,training,187,53,322958,349180,334769,334804,36,push_blue_block_right,go slide the blue block to the right,384,8ade1cbdd92c9189a21c1de0d10552341b70efab,36,1
64,train,B,training,188,44,244739,265077,254763,254827,65,lift_red_block_drawer,lift the red block lying in the drawer,384,ceb03d23189cf49cc95304b7127b1d9730a7d46d,65,1
65,train,B,training,190,4,20070,21762,21385,21449,65,lift_red_block_slider,grasp the red block lying in the sliding cabinet,384,28979b47158d97ed65e32c5e0ddedc2f8be6f3ee,65,1
66,train,B,training,194,57,408002,424674,414347,414411,65,open_drawer,grasp the handle of the drawer and open it,384,cd60b925d1bf44d05015136ba593469d80318a70,65,1
67,train,B,training,200,44,244739,265077,249757,249821,65,lift_red_block_table,pick up the red block on the table,384,dd14d85b28cfc423ae3467bad7fb6c56a4e85843,65,1
68,train,B,training,203,55,356202,398271,394944,395008,65,close_drawer,push the drawer,384,033eba508ad77f66a5707ccb721a597fbb19bb1c,65,1
69,train,B,training,205,59,435435,451284,450250,450314,65,rotate_red_block_left,rotate the red block towards the left,384,a9e0abcc4b7632fbc290c61c4ad1e2d578a3d44c,65,1
70,train,B,training,210,62,500844,532402,501157,501221,65,turn_on_led,turn on the green lamp,384,531d1a1d43cdb333d69429cf7756e685b00f9517,65,1
71,train,B,training,213,48,272233,289411,276747,276792,46,move_slider_left,move the sliding door to the left,384,2e98f2b5665de1da065cf8f197c0f0335be91ec0,46,1
72,train,B,training,214,13,58396,61335,59393,59457,65,turn_off_lightbulb,slide down the switch,384,44b1d8bc0ae8f77a55e1df60f593393eec0de645,65,1
73,train,B,training,219,44,244739,265077,259075,259139,65,unstack_block,unstack the blocks,384,ad05d6595677fd8b2690ffedbddb0c62f691e60e,65,1
74,train,B,training,223,62,500844,532402,501228,501267,40,unstack_block,unstack the blocks,384,ad05d6595677fd8b2690ffedbddb0c62f691e60e,40,1
75,train,B,training,226,62,500844,532402,518017,518081,65,lift_blue_block_drawer,pick up the blue block in the drawer,384,01142b765a34715a7637ffaeaff41acc4820965e,65,1
76,train,B,training,229,42,233104,239942,239858,239922,65,move_slider_left,slide the door to the left,384,5dc974e09fecead3313fdd7aeccf69d8edf96759,65,1
77,train,B,training,236,61,456757,500843,477693,477757,65,unstack_block,unstack the blocks,384,ad05d6595677fd8b2690ffedbddb0c62f691e60e,65,1
78,train,B,training,245,59,435435,451284,438468,438532,65,open_drawer,"grasp the handle of the drawer, then open it",384,a5af5fbe486f11ece927c30457a126410dc8e055,65,1
79,train,B,training,249,17,74331,79400,76950,77014,65,move_slider_right,move the door to the right,384,005fd44033471a69bd70e6654731c345554dbf66,65,1
80,train,B,training,250,62,500844,532402,501389,501453,65,move_slider_right,move the door to the right side,384,96421d52faa675fd7bfd6a1f89d54989b448c8b4,65,1
81,train,B,training,252,61,456757,500843,457760,457824,65,lift_pink_block_table,grasp the pink block on the table and lift it up,384,144b93762c8cc3a39c1063d6a78837536b81ac59,65,1
82,train,B,training,254,61,456757,500843,459029,459093,65,rotate_blue_block_right,rotate right the blue block,384,4e1bfda8fa001d386d95f0b2b3e61c31960dd640,65,1
83,train,B,training,256,52,301603,322957,320897,320961,65,close_drawer,push the drawer,384,138bdb35c6b44193846a6124afab6cac0a711a97,65,1
84,train,B,training,258,66,596231,598909,597608,597672,65,open_drawer,pull the drawer,384,3e6f75e16c5cd4906b12863b9a5e6b7f95807933,65,1
85,train,B,training,259,18,79401,85087,84245,84309,65,lift_red_block_slider,in the slider grasp the red block,384,daa13232607ea92834f6b0ed6bfe5e55484c74a5,65,1
86,train,B,training,265,48,272233,289411,273078,273142,65,push_red_block_left,slide the red block towards the left,384,f7d04e725fd5f0e38c23964446360fe22c689bb8,65,1
87,train,B,training,280,54,349181,356201,351432,351477,46,unstack_block,unstack the blocks,384,ad05d6595677fd8b2690ffedbddb0c62f691e60e,46,1
88,train,B,training,285,55,356202,398271,369529,369577,49,lift_red_block_table,"grasp the red block, then lift it up",384,693841e449e77f26fd3cefa3130391d8935abc3a,49,1
89,train,B,training,303,55,356202,398271,364497,364561,65,turn_on_lightbulb,move the light switch to turn on the light bulb,384,028f4e123a1c23d86ef4bf70a767774b85894878,65,1
90,train,B,training,307,56,398272,408001,402180,402244,65,turn_on_led,turn on the green lamp,384,531d1a1d43cdb333d69429cf7756e685b00f9517,65,1
91,train,B,training,316,37,204387,212690,209222,209286,65,lift_blue_block_table,lift the blue block from the table,384,4eac1fe2581446a51eacdf5fbc9236993269dbb8,65,1
92,train,B,training,322,55,356202,398271,375305,375369,65,push_blue_block_left,push left the blue block,384,780e3f076adbd60e19482b0d1ca766b236a5caf8,65,1
93,train,B,training,328,44,244739,265077,260777,260841,65,lift_pink_block_drawer,go towards the pink block in the drawer and grasp it,384,f94685ffd03e9677b8eee12e1fc15610abd45a60,65,1
94,train,B,training,331,41,228698,233103,229880,229944,65,move_slider_right,move the door to the right,384,1ef83942a12c170c4c518c1a894db5d7fb9e001f,65,1
95,train,B,training,333,55,356202,398271,375371,375435,65,rotate_blue_block_left,"grasp the blue block, then turn it left",384,b325a37d3fa8d03c19e2ccc2163ee63d50cf851e,65,1
96,train,B,training,336,19,85088,94884,89062,89126,65,lift_red_block_table,grasp the red block and lift it up,384,cdd8796fba242f419a4ec74db60e5fb4b9ec0e95,65,1
97,train,B,training,338,10,41202,49469,47154,47218,65,push_into_drawer,push the block into the drawer,384,ded77baa15166b74788fa0927438a4647d5333fe,65,1
98,train,B,training,339,61,456757,500843,500138,500202,65,lift_red_block_slider,grasp the red block lying on the shelf,384,eac4e36e14c3a50f8368a88bbbaafdc88cf2c05f,65,1
99,train,B,training,341,5,21763,27965,24456,24520,65,lift_blue_block_slider,lift the blue block on the shelf,384,5d185e14586828c76dd587f91b1d016224c26f60,65,1
100,train,B,training,342,11,49470,54831,52468,52532,65,turn_off_lightbulb,toggle the light switch to turn off the yellow light,384,60dcdfa7102abc005d673a1d86da9eddf8bff2b4,65,1
101,train,B,training,343,61,456757,500843,494744,494791,48,place_in_slider,put the grasped object in the cabinet,384,820007db64a86760e0cde9171dc01ded71816cc2,48,1
102,train,B,training,347,23,103606,114063,105841,105905,65,push_into_drawer,sweep the object into the drawer,384,42eeabc36fb7682d5797efc33eab46c3d88e7591,65,1
103,train,B,training,349,47,267917,272232,270109,270173,65,rotate_pink_block_left,turn the pink block left,384,869590ce0eab1c79ea39144bc47c7ffe6992cb6b,65,1
104,train,B,training,351,18,79401,85087,84828,84876,49,place_in_slider,put the block in the cabinet,384,a795d7c5dcaac2d0684045f8ebf783709c6e970a,49,1
105,train,B,training,352,59,435435,451284,449116,449180,65,lift_red_block_slider,in the cabinet grasp the red block,384,2feccdcd98e7662c9e17c1d932d53957abea5ee2,65,1
106,train,B,training,353,37,204387,212690,212312,212376,65,lift_red_block_table,lift the red block from the table,384,b4b629d919989ceafbaa2d72be63931cc452de03,65,1
107,train,B,training,356,1,3687,7911,4602,4666,65,turn_on_lightbulb,move the light switch to turn on the yellow light,384,38bf85e1c48faa44e017013eccaddae49957edea,65,1
108,train,B,training,357,63,532403,565777,563662,563726,65,rotate_blue_block_left,rotate left the blue block,384,ac0ad3702d4d93648fd15cd638e52b39b49562be,65,1
109,train,B,training,359,62,500844,532402,531721,531785,65,turn_off_led,turn off the green light,384,b51aa415839cda7dd3d3ddf6f21fa0c59f8cc357,65,1
110,train,B,training,362,62,500844,532402,528893,528957,65,close_drawer,close the cabinet drawer,384,f611fd0ca2a4dd355b8040e256fb8e8d1567bfc0,65,1
111,train,B,training,364,15,66823,72875,69326,69390,65,turn_on_lightbulb,push the switch upwards,384,351bca1b61e080002a982c438ad47bcd083c3543,65,1
112,train,B,training,365,39,218801,223461,220217,220281,65,place_in_slider,put the grasped object in the sliding cabinet,384,f0b02ed754bb81f3f5a98c03d406bfc2a20729e0,65,1
113,train,B,training,366,54,349181,356201,349400,349464,65,open_drawer,"grasp the drawer handle, then open it",384,9cf49cbe1b390c87a45e60c5eb70064175c5bdba,65,1
114,train,B,training,367,53,322958,349180,333526,333573,48,place_in_drawer,go towards the drawer and store the object,384,41cbc15eed8ea9cfa4d0d2fef8a1d88e396c25d9,48,1
115,train,B,training,368,42,233104,239942,233118,233182,65,rotate_blue_block_right,take the blue block and turn it right,384,7755ea9e7b4fa28b79e79fad5631e9db00f6e555,65,1
116,train,B,training,371,24,114064,123654,118207,118271,65,move_slider_left,push the door to the left side,384,019e7f922c1744e84b2689f2af331479d775b307,65,1
117,train,B,training,380,63,532403,565777,550563,550627,65,push_blue_block_right,push right the blue block,384,1dd3bdaaca290fa4e79130e1438a28f6a614fccb,65,1
118,train,B,training,382,61,456757,500843,477008,477072,65,turn_on_led,push down the button to turn on the led,384,d9a34a1ed2c2714fe7058849d141d1e0329aeeef,65,1
119,train,B,training,383,54,349181,356201,350043,350107,65,turn_on_led,push down the button to turn on the led light,384,e226a975dac969d475f1f84ca44d897ecc6bd3f6,65,1
120,train,B,training,385,63,532403,565777,553181,553245,65,lift_red_block_table,pick up the red block from the table,384,356aa67fe152c597b9fbcddb6e5d358ed9ad90fe,65,1
121,train,B,training,394,58,424675,435434,433390,433454,65,unstack_block,take off the stacked block,384,1ecbeeac65f20f796ea4c9c6dcfc7264f28751e7,65,1
122,train,B,training,396,3,9790,20069,19720,19784,65,push_blue_block_right,slide the blue block to the right,384,095734881ae65c354b8095e880921d166ec24bfd,65,1
123,train,B,training,405,63,532403,565777,547251,547315,65,turn_off_led,push the button to turn off the green light,384,4774be68e04df8891e9dc444564c587e8d1de841,65,1
124,train,B,training,407,61,456757,500843,499340,499404,65,move_slider_right,grasp the door handle and slide the door to the right,384,2a611a8fb5ad1401ba9546427e6f7bffec6fa4ba,65,1
125,train,B,training,415,55,356202,398271,359836,359900,65,lift_blue_block_slider,in the cabinet grasp the blue block,384,f1102754a00b8305ecaf66b2a75e30a355e0985d,65,1
126,train,B,training,417,0,0,3686,2501,2565,65,move_slider_left,move the door all the way to the left and let go,384,8764edf0b32878e9848ca478a9f3c88cf174aab7,65,1
127,train,B,training,418,56,398272,408001,406843,406891,49,place_in_drawer,place the grasped object in the drawer,384,307c87fbd8035964dc25aa66d2b5cc28a5ff5a6d,49,1
128,train,B,training,426,44,244739,265077,263090,263154,65,turn_on_led,push down the button to turn on the green light,384,821bdcd33a2c77f23ec81df5da963230d00a1071,65,1
129,train,B,training,428,48,272233,289411,283917,283981,65,push_pink_block_left,slide the pink block towards the left,384,7a54cce9b76747eaf703d94599e7523d48414bda,65,1
130,train,B,training,430,41,228698,233103,232027,232091,65,lift_red_block_table,"grasp the red block on the table, then lift it up",384,2d9221ef21de050b2f10f4cb75a426d22f35a6d2,65,1
131,train,B,training,432,64,565778,589422,571254,571318,65,open_drawer,grasp the drawer handle and open it,384,77582e88f30131327c5b29a6aba6e44f13ff5343,65,1
132,train,B,training,437,62,500844,532402,530010,530050,41,lift_red_block_table,lift the red block,384,26ee44e25a67c6e4f9dee42fbad271cca4d1080d,41,1
133,train,B,training,438,18,79401,85087,84242,84306,65,lift_red_block_slider,grasp the red block lying on the shelf,384,eac4e36e14c3a50f8368a88bbbaafdc88cf2c05f,65,1
134,train,B,training,440,61,456757,500843,472754,472789,36,lift_red_block_table,pick up the red block from the table,384,356aa67fe152c597b9fbcddb6e5d358ed9ad90fe,36,1
135,train,B,training,441,53,322958,349180,330206,330270,65,close_drawer,close the cabinet drawer,384,f611fd0ca2a4dd355b8040e256fb8e8d1567bfc0,65,1
136,train,B,training,447,56,398272,408001,399877,399913,37,place_in_slider,place the block in the cabinet,384,7bf840278bf256783f3f99609436da13877175d7,37,1
137,train,B,training,448,5,21763,27965,25963,26027,65,move_slider_left,"grasp the door handle, then slide the door to the left",384,fcbb69e4e712211f1f5c969731d6ef80ff47ab83,65,1
138,train,B,training,449,10,41202,49469,41383,41447,65,lift_pink_block_table,grasp the pink block on the table and lift it up,384,144b93762c8cc3a39c1063d6a78837536b81ac59,65,1
139,train,B,training,450,61,456757,500843,460545,460609,65,rotate_red_block_left,grasp the red block and turn it left,384,55a81b19fbdcd9b87e944aa74f58f471c69bcd83,65,1
140,train,B,training,453,58,424675,435434,424915,424979,65,turn_on_led,toggle the button to turn on the green light,384,30a49fd7433309cba05b6eeebdf43b2f826f62de,65,1
141,train,B,training,454,10,41202,49469,41546,41586,41,place_in_slider,put it in the slider,384,9bb98a52821b12b6eb346e9027941e872659dea5,41,1
142,train,B,training,457,0,0,3686,2891,2955,65,turn_on_lightbulb,turn on the yellow lamp,384,384162bcaa274e621082d347d2562bac042441b9,65,1
143,train,B,training,465,54,349181,356201,351480,351544,65,lift_pink_block_slider,in the cabinet grasp the pink block,384,c3dc03edee4432a7d9b0184001979a0ecaea3170,65,1
144,train,B,training,467,28,153962,158236,156469,156533,65,move_slider_right,push the door to the right side,384,68f7af036b7792adfef3f3bd11581379b4c84095,65,1
145,train,B,training,468,44,244739,265077,252031,252095,65,lift_blue_block_slider,grasp the blue block lying in the sliding cabinet,384,f4ca0d603cbe0ff5724b3a7262325385fe9b1bc0,65,1
146,train,B,training,491,28,153962,158236,157828,157892,65,close_drawer,push the handle of the drawer,384,8045df0ab9d64f7ac73176c9398eba901d35dd61,65,1
147,train,B,training,493,11,49470,54831,52761,52825,65,push_red_block_left,slide left the red block,384,aa1a12622941a22d26abaf0497ace50e99f2c473,65,1
148,train,B,training,500,58,424675,435434,429317,429381,65,lift_pink_block_drawer,pick up the pink block in the drawer,384,6e427be28671fb4a89630276221c833ec8f69b61,65,1
149,train,B,training,503,1,3687,7911,5845,5892,48,move_slider_right,slide the door to the right,384,bb2534efad1dc67f87ff2f8c562503551b54f9ee,48,1
150,train,B,training,508,63,532403,565777,550568,550632,65,push_blue_block_right,go push the blue block to the right,384,3e103d327a43b6554259bb1d95ef7c1c4dca0139,65,1
151,train,B,training,513,12,54832,58395,55457,55491,35,unstack_block,collapse the stacked blocks,384,a1921811dc2cfdec9b160b21f6f2ef9f67ab8d70,35,1
152,train,B,training,517,45,265078,267288,265375,265417,43,move_slider_left,push the door to the left,384,0efa2c1a0053e8a79dd8a8c2a28b8b7f4289bd36,43,1
153,train,B,training,519,57,408002,424674,412544,412608,65,rotate_red_block_left,grasp the red block and rotate it left,384,9586289d8b00ce6baed02eee0c9d0209e0ce53f8,65,1
154,train,B,training,520,61,456757,500843,498658,498722,65,rotate_blue_block_right,"grasp the blue block, then rotate it right",384,cbced79845e2fd196a17b043bc23daf5a779c9f8,65,1
155,train,B,training,533,59,435435,451284,441006,441070,65,close_drawer,push the drawer,384,138bdb35c6b44193846a6124afab6cac0a711a97,65,1
156,train,B,training,534,12,54832,58395,57038,57102,65,lift_blue_block_slider,pick up the blue block in the sliding cabinet,384,93d4c74f7bac280db07dd0e93837c4eabb45875e,65,1
157,train,B,training,536,63,532403,565777,541642,541706,65,lift_blue_block_slider,in the slider pick up the blue block,384,a48ed0822d9f3787c22ebf087df252dfac48c17a,65,1
158,train,B,training,540,59,435435,451284,451003,451067,65,turn_on_led,turn on the green light,384,e6b2af3072436e8b44edb1dd979f06c42a29b43d,65,1
159,train,B,training,543,37,204387,212690,209218,209282,65,lift_blue_block_table,lift the blue block,384,659f216e4cc0a5c74601dec512cc955ee2ea15d7,65,1
160,train,B,training,548,11,49470,54831,51739,51803,65,place_in_drawer,"move to the drawer, then store the object",384,76074425ac5d7f047069e4d77111604cc4b91113,65,1
161,train,B,training,554,17,74331,79400,74951,75015,65,lift_red_block_table,lift the red block up,384,c1a5e533a7efc90a3f43ca126a6efa14199e0679,65,1
162,train,B,training,556,58,424675,435434,425723,425787,65,push_into_drawer,slide the block into the drawer,384,b8dd0c86f33096de7277562b2e1860c3fb50923b,65,1
163,train,B,training,558,38,212691,218800,215279,215343,65,lift_pink_block_slider,lift the pink block lying in the slider,384,a41aaa8a4b88b1554ea3629a44e4dac458b0c45e,65,1
164,train,B,training,562,3,9790,20069,16008,16072,65,unstack_block,remove a block from the stack,384,77ab86ead9d5abd0233f02ba8d01edd14d730914,65,1
165,train,B,training,566,60,451285,456756,456041,456105,65,close_drawer,push the handle of the drawer,384,8045df0ab9d64f7ac73176c9398eba901d35dd61,65,1
166,train,B,training,567,50,291366,300898,296735,296799,65,lift_red_block_drawer,go towards the red block in the drawer and lift it,384,d049a3bf8023c9a4f55d91e0d6508b79f9b268c5,65,1
167,train,B,training,571,16,72876,74330,74070,74134,65,lift_red_block_drawer,go towards the red block in the drawer and lift it,384,d049a3bf8023c9a4f55d91e0d6508b79f9b268c5,65,1
168,train,B,training,576,23,103606,114063,111097,111141,45,place_in_slider,put the block in the slider,384,977c97b60e52e95369fafb0244a3efd285ffaf8e,45,1
169,train,B,training,577,48,272233,289411,274660,274724,65,open_drawer,pull the handle of the drawer,384,8bcd3d19b8d9ea9e80c50bf56b6b0fcc30b4b523,65,1
170,train,B,training,580,17,74331,79400,77499,77563,65,push_into_drawer,push the object into the drawer,384,6fdd4f827711cb97e7ff5569835c19e18211826f,65,1
171,train,B,training,584,57,408002,424674,408025,408089,65,push_blue_block_left,go slide the blue block to the left,384,d5a9fbe21aa644a5d782f4c4a424bf7d9b720751,65,1
172,train,B,training,588,39,218801,223461,220532,220596,65,push_blue_block_left,go push the blue block to the left,384,f5b257c47e60c5db6d2b6cba710661bb7771c206,65,1
