episode_index,split,environment,source_split,raw_segment_id,raw_episode_id,raw_episode_start,raw_episode_end,segment_start,segment_end,segment_length,task_name,language_text,language_embedding_dim,language_embedding_sha1,max_valid_actions_from_first_frame,requires_action_padding_for_chunk
30,train,A,training,110,134,1533348,1557988,1549752,1549816,65,turn_off_lightbulb,push the switch downwards,384,a5f8fa51b83593652900cd1d7f5813d471cbf8b1,65,1
31,train,A,training,112,134,1533348,1557988,1543334,1543398,65,place_in_slider,place the object in the sliding cabinet,384,481a4fb641d75bc1aed86406dbe479fd5c6be5a7,65,1
32,train,A,training,117,144,1741071,1769597,1745638,1745702,65,push_pink_block_left,push the pink block towards the left,384,130041d9dfe341a304c59772e119b71529987007,65,1
33,train,A,training,118,133,1502218,1533347,1508105,1508169,65,lift_blue_block_table,lift the blue block up,384,ab0d37bc77fdeb7f9899a93d8c09b97740616c6a,65,1
34,train,A,training,119,124,1388506,1412386,1408118,1408182,65,move_slider_right,move the door all the way to the right,384,c29c18c3bc41ca0c7673589314bb1f6756457d79,65,1
35,train,A,training,123,137,1605554,1620910,1609554,1609618,65,stack_block,put the block on top of another block,384,6bba7e40d37880fb9e232d6011e3cf202a7e246b,65,1
36,train,A,training,127,136,1573799,1605553,1598405,1598449,45,lift_pink_block_table,lift the pink block up,384,83a446984803a4afe11a88dc733d83f39bbc430a,45,1
37,train,A,training,128,136,1573799,1605553,1596025,1596089,65,push_into_drawer,slide the block into the drawer,384,b8dd0c86f33096de7277562b2e1860c3fb50923b,65,1
38,train,A,training,129,134,1533348,1557988,1536467,1536531,65,lift_pink_block_drawer,pick up the pink block from the drawer,384,f1887930dcfb981e931c207f6337cc5600a11ec0,65,1
39,train,A,training,130,109,1233060,1248612,1242765,1242829,65,open_drawer,go open the drawer,384,b98c81ce39d4d17fab4df3862030810e0a44c909,65,1
40,train,A,training,135,125,1412387,1442003,1432107,1432171,65,rotate_red_block_right,"grasp the red block, then rotate it right",384,b8effee335e9c9c38771afd353528ce13ea127c0,65,1
41,train,A,training,137,112,1258977,1287601,1259639,1259703,65,open_drawer,open the drawer,384,8cf4744f2b1c7894623191b476fab70d2a610f1b,65,1
42,train,A,training,139,126,1442004,1455309,1449235,1449299,65,open_drawer,open the drawer,384,6d8036affe0fe40c92d4930906785533e1c2d9ea,65,1
43,train,A,training,140,138,1620911,1647526,1635728,1635792,65,close_drawer,go close the drawer,384,e53ff1514bc4975368435f54b20e307e4bbbc76f,65,1
44,train,A,training,147,113,1287602,1305465,1299960,1299993,34,turn_on_led,turn on the led,384,a80b77480e121fccebd076307c117121e096551d,34,1
45,train,A,training,148,143,1709798,1741070,1725587,1725651,65,unstack_block,remove the top block,384,b19d8aaaeec7b94ea355464fe55bb4d1770e11f8,65,1
46,train,A,training,149,140,1657976,1673770,1662614,1662651,38,place_in_drawer,place the block in the drawer,384,9a806d075a7fb1a1d0357b92eed3414a68541a07,38,1
47,train,A,training,151,133,1502218,1533347,1528526,1528590,65,lift_pink_block_table,grasp the pink block on the table and lift it up,384,144b93762c8cc3a39c1063d6a78837536b81ac59,65,1
48,train,A,training,154,127,1455310,1471755,1468178,1468242,65,close_drawer,grasp the drawer handle and close it,384,5d8fb55887af517a3055b3c933140aad7eb644f9,65,1
49,train,A,training,166,136,1573799,1605553,1582211,1582275,65,stack_block,stack blocks on top of each other,384,6c13420b669a18fbfee4b102394befa69dc29cf8,65,1
50,train,A,training,167,135,1557989,1573798,1566055,1566119,65,move_slider_left,push the door to the left side,384,019e7f922c1744e84b2689f2af331479d775b307,65,1
51,train,A,training,168,112,1258977,1287601,1274278,1274342,65,lift_pink_block_drawer,lift the pink block in the drawer,384,3f3281a5ddc3a9831bd9c46afa5f6cec9c6040cd,65,1
52,train,A,training,171,128,1471756,1480172,1477848,1477912,65,move_slider_right,move the door to the right side,384,96421d52faa675fd7bfd6a1f89d54989b448c8b4,65,1
53,train,A,training,176,109,1233060,1248612,1243657,1243696,40,stack_block,put the block on top of another block,384,6bba7e40d37880fb9e232d6011e3cf202a7e246b,40,1
54,train,A,training,185,110,1248613,1255668,1251632,1251696,65,move_slider_left,move the door to the left,384,bc618c7bc1664980de3783a7dcde2ba2574a1c22,65,1
55,train,A,training,191,141,1673771,1700474,1680863,1680927,65,move_slider_right,slide the door all the way to the right,384,3e64e639dbcc754f2d926acb11109cb1500388d3,65,1
56,train,A,training,193,133,1502218,1533347,1512236,1512279,44,unstack_block,remove a block from the stack,384,77ab86ead9d5abd0233f02ba8d01edd14d730914,44,1
57,train,A,training,195,138,1620911,1647526,1645456,1645520,65,move_slider_left,slide the door to the left side,384,9567e2b2705501bdcd18c934f970ba63c81aedea,65,1
58,train,A,training,196,134,1533348,1557988,1534254,1534318,65,stack_block,put the block on top of another block,384,6bba7e40d37880fb9e232d6011e3cf202a7e246b,65,1
59,train,A,training,197,112,1258977,1287601,1269614,1269678,65,open_drawer,grasp the drawer handle and open it,384,77582e88f30131327c5b29a6aba6e44f13ff5343,65,1
60,train,A,training,198,131,1489331,1493048,1489839,1489903,65,rotate_red_block_left,grasp the red block and turn it left,384,55a81b19fbdcd9b87e944aa74f58f471c69bcd83,65,1
61,train,A,training,201,105,1207969,1222630,1208543,1208607,65,turn_on_lightbulb,turn on the light bulb,384,6ed0d66c19ff5be471b046ce09739697c1d511ae,65,1
62,train,A,training,202,144,1741071,1769597,1764180,1764244,65,turn_on_led,push down the button to turn on the led light,384,51d2f5e0a374a052fcd04e71156e23d13091b7f1,65,1
63,train,A,training,204,146,1785231,1795044,1789896,1789934,39,stack_block,stack blocks on top of each other,384,6c13420b669a18fbfee4b102394befa69dc29cf8,39,1
64,train,A,training,211,124,1388506,1412386,1396349,1396395,47,turn_off_led,push down the button to turn off the led,384,0c31283f4f51788c33066217caf4929ab2f9d583,47,1
65,train,A,training,212,105,1207969,1222630,1214135,1214177,43,place_in_slider,put the object in the slider,384,e6a1150ce201a3d282475a3c698d5275eec5e57d,43,1
66,train,A,training,217,118,1337899,1352228,1351644,1351708,65,move_slider_right,move the door to the right,384,1ef83942a12c170c4c518c1a894db5d7fb9e001f,65,1
67,train,A,training,220,139,1647527,1657975,1655064,1655128,65,move_slider_right,slide the door to the right,384,bb2534efad1dc67f87ff2f8c562503551b54f9ee,65,1
68,train,A,training,221,138,1620911,1647526,1635457,1635521,65,move_slider_left,"slide the door to the left, then let it go",384,bab1358609b1079373dff2ee195f4ac419770faa,65,1
69,train,A,training,225,136,1573799,1605553,1594247,1594311,65,lift_blue_block_drawer,lift the blue block in the drawer,384,fc7cf76a61cd240b52c978364a3557a610c60ce0,65,1
70,train,A,training,227,132,1493049,1502217,1495713,1495777,65,turn_on_led,push the button to turn on the led,384,1dc21713e9e0594e66419833f722c8dec959b847,65,1
71,train,A,training,228,121,1368753,1371767,1369558,1369597,40,stack_block,place the grasped block on top of another block,384,16e9f2c03392c9bed6ba3f008d28005e5c83194e,40,1
72,train,A,training,230,125,1412387,1442003,1424452,1424516,65,push_blue_block_left,push the blue block towards the left,384,a0c33934c0ac7f78e1b9b66f288d7fb8e52c08c8,65,1
73,train,A,training,233,129,1480173,1487720,1487602,1487666,65,turn_off_lightbulb,toggle the light switch to turn off the light bulb,384,2c880e00554962672eb2f5af73f62d67c7463c25,65,1
74,train,A,training,234,105,1207969,1222630,1219083,1219147,65,turn_on_lightbulb,move up the switch,384,8f1299da4f0441df181acb70505bbaa65c922d16,65,1
75,train,A,training,235,127,1455310,1471755,1468462,1468526,65,lift_red_block_table,pick up the red block,384,179fc405814032f2445ca22656b5b74f5b0c980f,65,1
76,train,A,training,239,143,1709798,1741070,1730490,1730554,65,move_slider_right,slide the door all the way to the right,384,3e64e639dbcc754f2d926acb11109cb1500388d3,65,1
77,train,A,training,240,125,1412387,1442003,1436816,1436864,49,push_red_block_left,push the red block towards the left,384,29023fd16fdfda1fd26b308e8f3ff42668ebcd95,49,1
78,train,A,training,243,115,1309995,1335805,1333560,1333624,65,turn_off_led,toggle the button to turn off the led,384,91a00439625e1e10a60ac0a2f4434a22e33fc39e,65,1
79,train,A,training,246,134,1533348,1557988,1534711,1534775,65,close_drawer,grasp the drawer handle and close it,384,5d8fb55887af517a3055b3c933140aad7eb644f9,65,1
80,train,A,training,248,132,1493049,1502217,1498075,1498139,65,lift_pink_block_table,grasp the pink block and lift it up,384,8cee7d139c9f1d4d54843da7cb311e56666b1400,65,1
81,train,A,training,257,142,1700475,1709797,1705080,1705126,47,place_in_drawer,place the block in the drawer,384,9a806d075a7fb1a1d0357b92eed3414a68541a07,47,1
82,train,A,training,260,123,1382126,1388505,1385541,1385605,65,stack_block,stack the block on top of another block,384,da417622ec099febd6230dc1384edf7f924e6044,65,1
83,train,A,training,261,125,1412387,1442003,1419160,1419224,65,lift_blue_block_table,lift the blue block from the table,384,f0764fa21d402501c6582f23cae2767c7998eba3,65,1
84,train,A,training,262,138,1620911,1647526,1634532,1634596,65,lift_red_block_drawer,pick up the red block from the drawer,384,a55969940362c3cd2652f87ded01936994c09ecd,65,1
85,train,A,training,266,138,1620911,1647526,1637081,1637145,65,move_slider_left,slide the door to the left,384,5dc974e09fecead3313fdd7aeccf69d8edf96759,65,1
86,train,A,training,271,144,1741071,1769597,1764665,1764729,65,push_blue_block_right,slide the blue block towards the right,384,8feb19678f28a3ddd18b3d0e033516c97c226382,65,1
87,train,A,training,273,109,1233060,1248612,1246988,1247052,65,turn_off_lightbulb,toggle the light switch to turn off the yellow light,384,60dcdfa7102abc005d673a1d86da9eddf8bff2b4,65,1
88,train,A,training,276,125,1412387,1442003,1425947,1426011,65,open_drawer,pull the drawer,384,d40ed8edfcbd206fb287129bbcd5cc42cd666dae,65,1
89,train,A,training,277,140,1657976,1673770,1664756,1664820,65,push_red_block_left,go slide the red block to the left,384,dbeed5549d33a1dc56deb068abb0637ca47702ab,65,1
90,train,A,training,281,109,1233060,1248612,1248522,1248561,40,turn_on_led,toggle the button to turn on the led,384,0b0e624ca74818ec24ebb31e59e26da3081f9228,40,1
91,train,A,training,282,141,1673771,1700474,1681189,1681233,45,unstack_block,unstack the blocks,384,ad05d6595677fd8b2690ffedbddb0c62f691e60e,45,1
92,train,A,training,283,146,1785231,1795044,1787297,1787361,65,open_drawer,pull the drawer,384,d40ed8edfcbd206fb287129bbcd5cc42cd666dae,65,1
93,train,A,training,286,136,1573799,1605553,1601421,1601485,65,push_blue_block_right,push the blue block towards the right,384,8598c6872a0560ef553d7951daf467957f132bb5,65,1
94,train,A,training,288,143,1709798,1741070,1713503,1713567,65,lift_pink_block_table,"grasp the pink block, then lift it up",384,087cf54afc0a5198ef87a6a761d911dd982cda83,65,1
95,train,A,training,292,134,1533348,1557988,1535389,1535430,42,place_in_slider,put the block in the slider,384,977c97b60e52e95369fafb0244a3efd285ffaf8e,42,1
96,train,A,training,296,133,1502218,1533347,1515157,1515221,65,turn_on_lightbulb,toggle the light switch to turn on the light bulb,384,dc9ec1ab25e716119fd7106cc639fe1562efa4ee,65,1
97,train,A,training,300,145,1769598,1785230,1769920,1769984,65,turn_on_lightbulb,turn on the yellow light,384,cf31d107960d7375c5ec8f55dacca57d7249a787,65,1
98,train,A,training,301,144,1741071,1769597,1755490,1755536,47,place_in_slider,place the grasped object in the sliding cabinet,384,28d5771e4d74e94b551e1de96fdc9e4b5a4c9472,47,1
99,train,A,training,302,138,1620911,1647526,1632827,1632891,65,turn_off_led,push down the button to turn off the led,384,0c31283f4f51788c33066217caf4929ab2f9d583,65,1
100,train,A,training,304,115,1309995,1335805,1312745,1312809,65,move_slider_left,"grasp the door handle, then move the door to the left",384,71f326451e14c878e8fda47605df8beafa2e95f3,65,1
101,train,A,training,311,126,1442004,1455309,1443751,1443815,65,turn_on_lightbulb,move the light switch to turn on the yellow light,384,38bf85e1c48faa44e017013eccaddae49957edea,65,1
102,train,A,training,313,133,1502218,1533347,1524430,1524494,65,lift_pink_block_drawer,go towards the pink block in the drawer and grasp it,384,f94685ffd03e9677b8eee12e1fc15610abd45a60,65,1
103,train,A,training,318,112,1258977,1287601,1263452,1263516,65,push_into_drawer,sweep the block into the drawer,384,f4aedb67519e045bb416f7434f0beaefb31181b6,65,1
104,train,A,training,323,137,1605554,1620910,1618707,1618740,34,lift_blue_block_table,pick up the blue block,384,5b27cea3292545e54127f81bfcc0a226bfe0881e,34,1
105,train,A,training,325,140,1657976,1673770,1671349,1671413,65,push_blue_block_left,sweep the blue block to the left,384,4ed24085bcd3956df6b1f414998b44f6adee8d5c,65,1
106,train,A,training,332,138,1620911,1647526,1622559,1622623,65,move_slider_right,push the sliding door to the right,384,3f5a90459eab5877eb3e1d7333c6d6c1b83fe478,65,1
107,train,A,training,334,115,1309995,1335805,1324805,1324869,65,lift_red_block_drawer,grasp the red block lying in the drawer,384,2b44932e5e10f0d625841c9c2111045092ca646e,65,1
108,train,A,training,337,133,1502218,1533347,1509075,1509111,37,place_in_drawer,place the grasped object in the drawer,384,307c87fbd8035964dc25aa66d2b5cc28a5ff5a6d,37,1
109,train,A,training,344,135,1557989,1573798,1559896,1559960,65,open_drawer,grasp the handle of the drawer and open it,384,cd60b925d1bf44d05015136ba593469d80318a70,65,1
110,train,A,training,345,124,1388506,1412386,1403113,1403177,65,lift_red_block_table,lift the red block,384,26ee44e25a67c6e4f9dee42fbad271cca4d1080d,65,1
111,train,A,training,373,138,1620911,1647526,1640507,1640571,65,close_drawer,"grasp the drawer handle, then close it",384,03e92ca80b0a59107c2240c97ac0fe94d5d37455,65,1
112,train,A,training,389,141,1673771,1700474,1690476,1690540,65,push_blue_block_left,go push the blue block to the left,384,f5b257c47e60c5db6d2b6cba710661bb7771c206,65,1
113,train,A,training,392,145,1769598,1785230,1782914,1782978,65,lift_red_block_drawer,pick up the red block in the drawer,384,b3d42ffc810f4bf7678e8a5f0d965401b02446aa,65,1
114,train,A,training,397,131,1489331,1493048,1490698,1490762,65,lift_pink_block_drawer,pick up the pink block from the drawer,384,f1887930dcfb981e931c207f6337cc5600a11ec0,65,1
115,train,A,training,398,140,1657976,1673770,1667268,1667332,65,lift_red_block_slider,grasp the red block lying in the sliding cabinet,384,28979b47158d97ed65e32c5e0ddedc2f8be6f3ee,65,1
116,train,A,training,399,144,1741071,1769597,1766514,1766578,65,push_red_block_right,sweep the red block to the right,384,3742390a8ebdea180835091333a6b33107658769,65,1
117,train,A,training,400,119,1352229,1362443,1356837,1356901,65,open_drawer,pull the handle of the drawer,384,8bcd3d19b8d9ea9e80c50bf56b6b0fcc30b4b523,65,1
118,train,A,training,401,143,1709798,1741070,1728127,1728191,65,turn_off_lightbulb,toggle the light switch to turn off the yellow light,384,60dcdfa7102abc005d673a1d86da9eddf8bff2b4,65,1
119,train,A,training,402,145,1769598,1785230,1778420,1778455,36,place_in_slider,place the block in the cabinet,384,7bf840278bf256783f3f99609436da13877175d7,36,1
120,train,A,training,403,138,1620911,1647526,1643271,1643335,65,turn_on_led,toggle the button to turn on the led light,384,2e85e3035026ecaafbba8a08ea7608b05e974f04,65,1
121,train,A,training,406,128,1471756,1480172,1475134,1475198,65,stack_block,stack the block on top of another block,384,da417622ec099febd6230dc1384edf7f924e6044,65,1
122,train,A,training,409,111,1255669,1258976,1256503,1256567,65,turn_off_lightbulb,move the light switch to turn off the yellow light,384,6c2f1f084161d9f147fad2cfb7ac938f18b55f4f,65,1
123,train,A,training,410,109,1233060,1248612,1234257,1234321,65,lift_blue_block_table,pick up the blue block on the table,384,8b6e31f65f8a96fecfc3e40e6547703d81153fed,65,1
124,train,A,training,411,139,1647527,1657975,1648694,1648758,65,turn_off_lightbulb,slide down the switch,384,c3ca16c731660b91a8af212922dcb1cc0a5b7682,65,1
125,train,A,training,416,125,1412387,1442003,1422581,1422623,43,turn_off_lightbulb,toggle the light switch to turn off the yellow light,384,60dcdfa7102abc005d673a1d86da9eddf8bff2b4,43,1
126,train,A,training,422,136,1573799,1605553,1599622,1599686,65,push_pink_block_left,go slide the pink block to the left,384,dc325eca240491f969bdb36505e7715bea821bb2,65,1
127,train,A,training,423,134,1533348,1557988,1541836,1541900,65,open_drawer,go open the drawer,384,b98c81ce39d4d17fab4df3862030810e0a44c909,65,1
128,train,A,training,425,120,1362444,1368752,1362800,1362864,65,turn_on_led,push down the button to turn on the led,384,d9a34a1ed2c2714fe7058849d141d1e0329aeeef,65,1
129,train,A,training,429,140,1657976,1673770,1668135,1668199,65,open_drawer,"grasp the drawer handle, then open it",384,9cf49cbe1b390c87a45e60c5eb70064175c5bdba,65,1
130,train,A,training,431,110,1248613,1255668,1252321,1252385,65,close_drawer,push the drawer,384,138bdb35c6b44193846a6124afab6cac0a711a97,65,1
131,train,A,training,433,113,1287602,1305465,1288931,1288995,65,move_slider_right,push the sliding door to the right,384,3f5a90459eab5877eb3e1d7333c6d6c1b83fe478,65,1
132,train,A,training,436,123,1382126,1388505,1383990,1384054,65,push_blue_block_left,slide the blue block to the left,384,34e1e97e07e78b1a94e5bb6db4c5f6d2eaac35a0,65,1
133,train,A,training,439,146,1785231,1795044,1792250,1792314,65,lift_blue_block_slider,in the cabinet pick up the blue block,384,657c82630ccf19d610476f082f4ce07e570da876,65,1
134,train,A,training,443,107,1223863,1229573,1229124,1229160,37,place_in_slider,place the object in the cabinet,384,549598da9ffc5977dc2ecb458d7bf0ecd74a534f,37,1
135,train,A,training,451,135,1557989,1573798,1559631,1559695,65,lift_red_block_table,pick up the red block,384,179fc405814032f2445ca22656b5b74f5b0c980f,65,1
136,train,A,training,452,124,1388506,1412386,1392421,1392485,65,move_slider_left,push the sliding door to the left,384,79b1d86b8c39b60c3b8c14adf95aae50f70b381a,65,1
137,train,A,training,458,114,1305466,1309994,1307977,1308041,65,move_slider_left,"slide the door to the left, then let it go",384,bab1358609b1079373dff2ee195f4ac419770faa,65,1
138,train,A,training,460,125,1412387,1442003,1433622,1433686,65,turn_off_lightbulb,turn off the yellow lamp,384,e92625b57c6d36ca4364653f1b9c66fd37182042,65,1
139,train,A,training,461,144,1741071,1769597,1762800,1762864,65,rotate_pink_block_left,"grasp the pink block, then rotate it left",384,1d59cfc3b56070b85159d9a745961aad5ce7e9dd,65,1
140,train,A,training,464,103,1200365,1206923,1203223,1203287,65,open_drawer,grasp the handle of the drawer and open it,384,cd60b925d1bf44d05015136ba593469d80318a70,65,1
141,train,A,training,470,133,1502218,1533347,1520407,1520471,65,open_drawer,grasp the handle of the drawer and open it,384,cd60b925d1bf44d05015136ba593469d80318a70,65,1
142,train,A,training,471,136,1573799,1605553,1583293,1583357,65,rotate_blue_block_left,turn the blue block left,384,9725253cdce0d5578eb124e62fa310766b4c9323,65,1
143,train,A,training,474,133,1502218,1533347,1503718,1503782,65,lift_red_block_drawer,pick up the red block lying in the drawer,384,cd4e573fe3eebae3f31a9cbe9f77df2858fc4bcf,65,1
144,train,A,training,475,140,1657976,1673770,1658596,1658643,48,place_in_drawer,store the block in the drawer,384,092582c5e78247bf5e766a198306fea5ee2d35a2,48,1
145,train,A,training,479,144,1741071,1769597,1747210,1747274,65,turn_off_led,toggle the button to turn off the green light,384,eba5b9f9fd7c56cd96612d70773b87a164862f4c,65,1
146,train,A,training,480,109,1233060,1248612,1239756,1239792,37,move_slider_right,slide the door all the way to the right,384,3e64e639dbcc754f2d926acb11109cb1500388d3,37,1
147,train,A,training,481,138,1620911,1647526,1626409,1626473,65,turn_off_lightbulb,turn off the light bulb,384,79d8214abe1f4c1ee30eb826454d346edb726eb5,65,1
148,train,A,training,485,133,1502218,1533347,1511153,1511217,65,push_pink_block_left,go push the pink block to the left,384,8b3ea60e6738844286a4750ff98a5a672df51fd3,65,1
149,train,A,training,487,107,1223863,1229573,1224025,1224063,39,place_in_drawer,go towards the drawer and store the object,384,41cbc15eed8ea9cfa4d0d2fef8a1d88e396c25d9,39,1
150,train,A,training,489,122,1371768,1382125,1373428,1373492,65,move_slider_left,push the door to the left side,384,019e7f922c1744e84b2689f2af331479d775b307,65,1
151,train,A,training,490,126,1442004,1455309,1454658,1454722,65,close_drawer,grasp the handle of the drawer and close it,384,b62f02fbcaf41b92efc860f0ba8bcbdb6fd34917,65,1
152,train,A,training,494,124,1388506,1412386,1395669,1395711,43,turn_on_led,turn on the led,384,f9c5f5854223da88ee9627a98003a92b5a97bad2,43,1
153,train,A,training,495,136,1573799,1605553,1592583,1592647,65,stack_block,put the block on top of another block,384,6bba7e40d37880fb9e232d6011e3cf202a7e246b,65,1
154,train,A,training,499,134,1533348,1557988,1555774,1555838,65,open_drawer,grasp the drawer handle and open it,384,77582e88f30131327c5b29a6aba6e44f13ff5343,65,1
155,train,A,training,502,115,1309995,1335805,1325022,1325070,49,stack_block,stack the block on top of another block,384,da417622ec099febd6230dc1384edf7f924e6044,49,1
156,train,A,training,505,133,1502218,1533347,1522729,1522793,65,turn_off_led,push down the button to turn off the led,384,0c31283f4f51788c33066217caf4929ab2f9d583,65,1
157,train,A,training,506,133,1502218,1533347,1516626,1516690,65,move_slider_right,grasp the door handle and slide the door to the right,384,2a611a8fb5ad1401ba9546427e6f7bffec6fa4ba,65,1
158,train,A,training,509,140,1657976,1673770,1660403,1660437,35,place_in_drawer,place the grasped object in the drawer,384,307c87fbd8035964dc25aa66d2b5cc28a5ff5a6d,35,1
159,train,A,training,512,134,1533348,1557988,1556721,1556754,34,stack_block,stack the block on top of another block,384,da417622ec099febd6230dc1384edf7f924e6044,34,1
160,train,A,training,514,134,1533348,1557988,1551390,1551454,65,close_drawer,grasp the drawer handle and close it,384,5d8fb55887af517a3055b3c933140aad7eb644f9,65,1
161,train,A,training,515,141,1673771,1700474,1688903,1688967,65,push_into_drawer,sweep the block into the drawer,384,f4aedb67519e045bb416f7434f0beaefb31181b6,65,1
162,train,A,training,521,141,1673771,1700474,1696198,1696262,65,push_into_drawer,sweep the object into the drawer,384,42eeabc36fb7682d5797efc33eab46c3d88e7591,65,1
163,train,A,training,522,115,1309995,1335805,1326908,1326954,47,lift_blue_block_drawer,lift the blue block in the drawer,384,fc7cf76a61cd240b52c978364a3557a610c60ce0,47,1
164,train,A,training,523,109,1233060,1248612,1235928,1235992,65,lift_red_block_drawer,go towards the red block in the drawer and pick it up,384,fa06be2fefd7f5663e2bca4c839dda5ef623a36a,65,1
165,train,A,training,525,122,1371768,1382125,1372588,1372652,65,move_slider_left,push the door to the left,384,0efa2c1a0053e8a79dd8a8c2a28b8b7f4289bd36,65,1
166,train,A,training,526,123,1382126,1388505,1384517,1384581,65,move_slider_right,"slide the door to the right, then let it go",384,c55c9bf7585ce686a91159ec47d2e956c8ed339a,65,1
