environment,run_index,gripper_state,state_value,run_length_frames
B,232,open,1.0,19
B,233,close,-1.0,30
B,234,open,1.0,33
B,235,close,-1.0,32
B,236,open,1.0,40
B,237,close,-1.0,40
B,238,open,1.0,29
B,239,close,-1.0,59
B,240,open,1.0,35
B,241,close,-1.0,56
B,242,open,1.0,24
B,243,close,-1.0,44
B,244,open,1.0,145
B,245,close,-1.0,48
B,246,open,1.0,54
B,247,close,-1.0,51
B,248,open,1.0,43
B,249,close,-1.0,42
B,250,open,1.0,67
B,251,close,-1.0,77
B,252,open,1.0,59
B,253,close,-1.0,78
B,254,open,1.0,43
B,255,close,-1.0,38
B,256,open,1.0,36
B,257,close,-1.0,65
B,258,open,1.0,66
B,259,close,-1.0,50
B,260,open,1.0,44
B,261,close,-1.0,47
B,262,open,1.0,58
B,263,close,-1.0,48
B,264,open,1.0,41
B,265,close,-1.0,43
B,266,open,1.0,36
B,267,close,-1.0,56
B,268,open,1.0,111
B,269,close,-1.0,38
B,270,open,1.0,37
B,271,close,-1.0,61
B,272,open,1.0,49
B,273,close,-1.0,46
B,274,open,1.0,51
B,275,close,-1.0,39
B,276,open,1.0,93
B,277,close,-1.0,47
B,278,open,1.0,51
B,279,close,-1.0,67
B,280,open,1.0,46
B,281,close,-1.0,52
B,282,open,1.0,67
B,283,close,-1.0,43
B,284,open,1.0,63
B,285,close,-1.0,53
B,286,open,1.0,67
B,287,close,-1.0,50
B,288,open,1.0,12
B,289,close,-1.0,61
B,290,open,1.0,47
B,291,close,-1.0,47
B,292,open,1.0,94
B,293,close,-1.0,108
B,294,open,1.0,53
B,295,close,-1.0,87
B,296,open,1.0,35
B,297,close,-1.0,81
B,298,open,1.0,55
B,299,close,-1.0,50
B,300,open,1.0,137
B,301,close,-1.0,67
B,302,open,1.0,22
B,303,close,-1.0,32
B,304,open,1.0,32
B,305,close,-1.0,46
B,306,open,1.0,26
B,307,close,-1.0,166
B,308,open,1.0,17
B,309,close,-1.0,34
B,310,open,1.0,32
B,311,close,-1.0,59
B,312,open,1.0,59
B,313,close,-1.0,52
B,314,open,1.0,63
B,315,close,-1.0,61
B,316,open,1.0,45
B,317,close,-1.0,61
B,318,open,1.0,138
B,319,close,-1.0,48
B,320,open,1.0,39
B,321,close,-1.0,45
B,322,open,1.0,35
B,323,close,-1.0,63
B,324,open,1.0,51
B,325,close,-1.0,32
B,326,open,1.0,104
B,327,close,-1.0,71
B,328,open,1.0,53
B,329,close,-1.0,61
B,330,open,1.0,36
B,331,close,-1.0,52
B,332,open,1.0,71
B,333,close,-1.0,34
B,334,open,1.0,36
B,335,close,-1.0,78
B,336,open,1.0,53
B,337,close,-1.0,71
B,338,open,1.0,34
B,339,close,-1.0,93
B,340,open,1.0,37
B,341,close,-1.0,49
B,342,open,1.0,28
B,343,close,-1.0,37
B,344,open,1.0,60
B,345,close,-1.0,46
B,346,open,1.0,51
B,347,close,-1.0,36
B,348,open,1.0,67
B,349,close,-1.0,42
B,350,open,1.0,207
B,351,close,-1.0,39
B,352,open,1.0,180
B,353,close,-1.0,92
B,354,open,1.0,60
B,355,close,-1.0,48
B,356,open,1.0,22
B,357,close,-1.0,42
B,358,open,1.0,66
B,359,close,-1.0,42
B,360,open,1.0,43
B,361,close,-1.0,49
B,362,open,1.0,73
B,363,close,-1.0,27
B,364,open,1.0,39
B,365,close,-1.0,39
B,366,open,1.0,28
B,367,close,-1.0,50
B,368,open,1.0,36
B,369,close,-1.0,60
B,370,open,1.0,31
B,371,close,-1.0,41
B,372,open,1.0,94
B,373,close,-1.0,51
B,374,open,1.0,140
B,375,close,-1.0,33
B,376,open,1.0,181
B,377,close,-1.0,110
B,378,open,1.0,45
B,379,close,-1.0,70
B,380,open,1.0,38
B,381,close,-1.0,53
B,382,open,1.0,55
B,383,close,-1.0,71
B,384,open,1.0,26
B,385,close,-1.0,44
B,386,open,1.0,46
B,387,close,-1.0,51
B,388,open,1.0,131
B,389,close,-1.0,33
B,390,open,1.0,51
B,391,close,-1.0,58
B,392,open,1.0,73
B,393,close,-1.0,42
B,394,open,1.0,13
B,395,close,-1.0,57
B,396,open,1.0,13
B,397,close,-1.0,33
B,398,open,1.0,96
B,399,close,-1.0,60
B,400,open,1.0,31
B,401,close,-1.0,40
B,402,open,1.0,27
B,403,close,-1.0,9
B,404,open,1.0,62
B,405,close,-1.0,39
B,406,open,1.0,46
B,407,close,-1.0,34
B,408,open,1.0,12
B,409,close,-1.0,37
B,410,open,1.0,29
B,411,close,-1.0,48
B,412,open,1.0,37
B,413,close,-1.0,42
B,414,open,1.0,66
B,415,close,-1.0,33
B,416,open,1.0,22
B,417,close,-1.0,51
B,418,open,1.0,36
B,419,close,-1.0,35
B,420,open,1.0,53
B,421,close,-1.0,47
B,422,open,1.0,17
B,423,close,-1.0,36
B,424,open,1.0,45
B,425,close,-1.0,48
B,426,open,1.0,34
B,427,close,-1.0,29
B,428,open,1.0,131
B,429,close,-1.0,54
B,430,open,1.0,55
B,431,close,-1.0,44
B,432,open,1.0,51
B,433,close,-1.0,42
B,434,open,1.0,174
B,435,close,-1.0,33
B,436,open,1.0,45
B,437,close,-1.0,42
B,438,open,1.0,18
B,439,close,-1.0,45
B,440,open,1.0,67
B,441,close,-1.0,84
B,442,open,1.0,63
B,443,close,-1.0,63
B,444,open,1.0,54
B,445,close,-1.0,49
B,446,open,1.0,43
B,447,close,-1.0,37
B,448,open,1.0,52
B,449,close,-1.0,44
B,450,open,1.0,39
B,451,close,-1.0,37
B,452,open,1.0,36
B,453,close,-1.0,48
B,454,open,1.0,21
B,455,close,-1.0,39
B,456,open,1.0,77
B,457,close,-1.0,82
B,458,open,1.0,41
B,459,close,-1.0,60
B,460,open,1.0,32
B,461,close,-1.0,41
B,462,open,1.0,18
B,463,close,-1.0,69
B,464,open,1.0,26
B,465,close,-1.0,31
B,466,open,1.0,168
B,467,close,-1.0,34
B,468,open,1.0,65
B,469,close,-1.0,40
B,470,open,1.0,32
B,471,close,-1.0,30
B,472,open,1.0,60
B,473,close,-1.0,56
B,474,open,1.0,47
B,475,close,-1.0,42
B,476,open,1.0,18
B,477,close,-1.0,28
B,478,open,1.0,29
B,479,close,-1.0,34
B,480,open,1.0,46
B,481,close,-1.0,44
B,482,open,1.0,59
B,483,close,-1.0,33
B,484,open,1.0,22
B,485,close,-1.0,31
B,486,open,1.0,19
B,487,close,-1.0,54
B,488,open,1.0,23
B,489,close,-1.0,79
B,490,open,1.0,41
B,491,close,-1.0,81
B,492,open,1.0,34
B,493,close,-1.0,37
B,494,open,1.0,38
B,495,close,-1.0,41
B,496,open,1.0,59
B,497,close,-1.0,38
B,498,open,1.0,24
B,499,close,-1.0,75
B,500,open,1.0,52
B,501,close,-1.0,36
B,502,open,1.0,27
B,503,close,-1.0,81
B,504,open,1.0,49
B,505,close,-1.0,41
B,506,open,1.0,50
B,507,close,-1.0,47
B,508,open,1.0,67
B,509,close,-1.0,69
B,510,open,1.0,31
B,511,close,-1.0,37
B,512,open,1.0,47
B,513,close,-1.0,95
B,514,open,1.0,45
B,515,close,-1.0,43
B,516,open,1.0,42
B,517,close,-1.0,46
B,518,open,1.0,34
B,519,close,-1.0,63
B,520,open,1.0,11
B,521,close,-1.0,129
B,522,open,1.0,50
B,523,close,-1.0,36
B,524,open,1.0,43
B,525,close,-1.0,49
B,526,open,1.0,55
B,527,close,-1.0,34
B,528,open,1.0,40
B,529,close,-1.0,48
B,530,open,1.0,209
B,531,close,-1.0,50
B,532,open,1.0,50
B,533,close,-1.0,46
B,534,open,1.0,58
B,535,close,-1.0,33
B,536,open,1.0,56
B,537,close,-1.0,33
B,538,open,1.0,38
B,539,close,-1.0,46
B,540,open,1.0,10
B,541,close,-1.0,49
B,542,open,1.0,44
B,543,close,-1.0,30
B,544,open,1.0,20
B,545,close,-1.0,62
B,546,open,1.0,44
B,547,close,-1.0,53
B,548,open,1.0,45
B,549,close,-1.0,62
B,550,open,1.0,15
B,551,close,-1.0,91
B,552,open,1.0,31
B,553,close,-1.0,30
B,554,open,1.0,80
B,555,close,-1.0,52
B,556,open,1.0,32
B,557,close,-1.0,35
B,558,open,1.0,33
B,559,close,-1.0,45
B,560,open,1.0,106
B,561,close,-1.0,52
B,562,open,1.0,23
B,563,close,-1.0,67
B,564,open,1.0,37
B,565,close,-1.0,53
B,566,open,1.0,8
B,567,close,-1.0,78
B,568,open,1.0,51
B,569,close,-1.0,69
B,570,open,1.0,23
B,571,close,-1.0,36
B,572,open,1.0,14
B,573,close,-1.0,6
B,574,open,1.0,33
B,575,close,-1.0,47
B,576,open,1.0,82
B,577,close,-1.0,34
B,578,open,1.0,58
B,579,close,-1.0,33
B,580,open,1.0,20
B,581,close,-1.0,32
B,582,open,1.0,60
B,583,close,-1.0,36
B,584,open,1.0,57
B,585,close,-1.0,43
B,586,open,1.0,33
B,587,close,-1.0,37
B,588,open,1.0,75
B,589,close,-1.0,71
B,590,open,1.0,57
B,591,close,-1.0,49
B,592,open,1.0,56
B,593,close,-1.0,48
B,594,open,1.0,111
B,595,close,-1.0,36
B,596,open,1.0,69
B,597,close,-1.0,46
B,598,open,1.0,41
B,599,close,-1.0,56
B,600,open,1.0,7
B,601,close,-1.0,35
B,602,open,1.0,43
B,603,close,-1.0,36
B,604,open,1.0,70
B,605,close,-1.0,47
B,606,open,1.0,30
B,607,close,-1.0,48
B,608,open,1.0,25
B,609,close,-1.0,79
B,610,open,1.0,31
B,611,close,-1.0,64
B,612,open,1.0,30
B,613,close,-1.0,46
B,614,open,1.0,33
B,615,close,-1.0,65
B,616,open,1.0,66
B,617,close,-1.0,117
B,618,open,1.0,37
B,619,close,-1.0,73
B,620,open,1.0,35
B,621,close,-1.0,42
B,622,open,1.0,53
B,623,close,-1.0,59
B,624,open,1.0,20
B,625,close,-1.0,37
B,626,open,1.0,40
B,627,close,-1.0,64
B,628,open,1.0,20
B,629,close,-1.0,76
B,630,open,1.0,48
B,631,close,-1.0,47
B,632,open,1.0,123
B,633,close,-1.0,36
B,634,open,1.0,66
B,635,close,-1.0,36
B,636,open,1.0,11
B,637,close,-1.0,75
B,638,open,1.0,31
B,639,close,-1.0,54
B,640,open,1.0,71
B,641,close,-1.0,67
B,642,open,1.0,61
B,643,close,-1.0,49
B,644,open,1.0,36
B,645,close,-1.0,71
B,646,open,1.0,8
B,647,close,-1.0,119
B,648,open,1.0,27
B,649,close,-1.0,47
B,650,open,1.0,53
B,651,close,-1.0,41
B,652,open,1.0,31
B,653,close,-1.0,80
B,654,open,1.0,84
B,655,close,-1.0,60
B,656,open,1.0,18
B,657,close,-1.0,40
B,658,open,1.0,108
B,659,close,-1.0,62
B,660,open,1.0,46
B,661,close,-1.0,47
B,662,open,1.0,32
B,663,close,-1.0,53
B,664,open,1.0,66
B,665,close,-1.0,48
B,666,open,1.0,43
B,667,close,-1.0,51
B,668,open,1.0,38
B,669,close,-1.0,39
B,670,open,1.0,37
B,671,close,-1.0,51
B,672,open,1.0,50
B,673,close,-1.0,47
B,674,open,1.0,108
B,675,close,-1.0,93
B,676,open,1.0,63
B,677,close,-1.0,15
B,678,open,1.0,35
B,679,close,-1.0,46
B,680,open,1.0,16
B,681,close,-1.0,76
B,682,open,1.0,21
B,683,close,-1.0,69
B,684,open,1.0,92
B,685,close,-1.0,48
B,686,open,1.0,44
B,687,close,-1.0,51
B,688,open,1.0,34
B,689,close,-1.0,42
B,690,open,1.0,137
B,691,close,-1.0,51
B,692,open,1.0,60
B,693,close,-1.0,52
B,694,open,1.0,181
B,695,close,-1.0,52
B,696,open,1.0,12
B,697,close,-1.0,68
B,698,open,1.0,42
B,699,close,-1.0,62
B,700,open,1.0,15
B,701,close,-1.0,41
B,702,open,1.0,58
B,703,close,-1.0,44
B,704,open,1.0,43
B,705,close,-1.0,40
B,706,open,1.0,42
B,707,close,-1.0,76
B,708,open,1.0,46
B,709,close,-1.0,50
B,710,open,1.0,33
B,711,close,-1.0,71
B,712,open,1.0,123
B,713,close,-1.0,43
B,714,open,1.0,11
B,715,close,-1.0,73
B,716,open,1.0,51
B,717,close,-1.0,43
B,718,open,1.0,141
B,719,close,-1.0,49
B,720,open,1.0,67
B,721,close,-1.0,38
B,722,open,1.0,41
B,723,close,-1.0,70
B,724,open,1.0,37
B,725,close,-1.0,74
B,726,open,1.0,37
B,727,close,-1.0,62
B,728,open,1.0,54
B,729,close,-1.0,49
B,730,open,1.0,17
B,731,close,-1.0,63
B,732,open,1.0,59
B,733,close,-1.0,98
B,734,open,1.0,47
B,735,close,-1.0,64
B,736,open,1.0,36
B,737,close,-1.0,67
B,738,open,1.0,50
B,739,close,-1.0,39
B,740,open,1.0,56
B,741,close,-1.0,64
B,742,open,1.0,83
B,743,close,-1.0,40
B,744,open,1.0,130
B,745,close,-1.0,60
B,746,open,1.0,68
B,747,close,-1.0,44
B,748,open,1.0,204
B,749,close,-1.0,36
B,750,open,1.0,60
B,751,close,-1.0,49
B,752,open,1.0,50
B,753,close,-1.0,47
B,754,open,1.0,60
B,755,close,-1.0,61
B,756,open,1.0,66
B,757,close,-1.0,46
B,758,open,1.0,210
B,759,close,-1.0,62
B,760,open,1.0,64
B,761,close,-1.0,52
B,762,open,1.0,48
B,763,close,-1.0,44
B,764,open,1.0,40
B,765,close,-1.0,44
B,766,open,1.0,16
B,767,close,-1.0,62
B,768,open,1.0,54
B,769,close,-1.0,57
B,770,open,1.0,74
B,771,close,-1.0,39
B,772,open,1.0,32
B,773,close,-1.0,39
B,774,open,1.0,27
B,775,close,-1.0,69
B,776,open,1.0,22
B,777,close,-1.0,95
B,778,open,1.0,126
B,779,close,-1.0,41
B,780,open,1.0,69
B,781,close,-1.0,58
B,782,open,1.0,69
B,783,close,-1.0,58
B,784,open,1.0,43
B,785,close,-1.0,69
B,786,open,1.0,67
B,787,close,-1.0,39
B,788,open,1.0,29
B,789,close,-1.0,37
B,790,open,1.0,23
B,791,close,-1.0,52
B,792,open,1.0,115
B,793,close,-1.0,39
B,794,open,1.0,111
B,795,close,-1.0,49
B,796,open,1.0,51
B,797,close,-1.0,24
B,798,open,1.0,91
B,799,close,-1.0,37
B,800,open,1.0,139
B,801,close,-1.0,51
B,802,open,1.0,53
B,803,close,-1.0,40
B,804,open,1.0,39
B,805,close,-1.0,56
B,806,open,1.0,53
B,807,close,-1.0,52
B,808,open,1.0,80
B,809,close,-1.0,42
B,810,open,1.0,52
B,811,close,-1.0,51
B,812,open,1.0,28
B,813,close,-1.0,69
B,814,open,1.0,65
B,815,close,-1.0,48
B,816,open,1.0,59
B,817,close,-1.0,48
B,818,open,1.0,40
B,819,close,-1.0,34
B,820,open,1.0,68
B,821,close,-1.0,47
B,822,open,1.0,33
B,823,close,-1.0,49
B,824,open,1.0,75
B,825,close,-1.0,48
B,826,open,1.0,143
B,827,close,-1.0,78
B,828,open,1.0,83
B,829,close,-1.0,53
B,830,open,1.0,18
B,831,close,-1.0,66
B,832,open,1.0,29
B,833,close,-1.0,45
B,834,open,1.0,26
B,835,close,-1.0,48
B,836,open,1.0,62
B,837,close,-1.0,42
B,838,open,1.0,29
B,839,close,-1.0,65
B,840,open,1.0,42
B,841,close,-1.0,74
B,842,open,1.0,33
B,843,close,-1.0,78
B,844,open,1.0,45
B,845,close,-1.0,38
B,846,open,1.0,74
B,847,close,-1.0,49
B,848,open,1.0,29
B,849,close,-1.0,51
B,850,open,1.0,63
B,851,close,-1.0,51
B,852,open,1.0,66
B,853,close,-1.0,52
B,854,open,1.0,21
B,855,close,-1.0,71
B,856,open,1.0,27
B,857,close,-1.0,39
B,858,open,1.0,51
B,859,close,-1.0,54
B,860,open,1.0,32
B,861,close,-1.0,89
B,862,open,1.0,59
B,863,close,-1.0,86
B,864,open,1.0,95
B,865,close,-1.0,60
B,866,open,1.0,29
B,867,close,-1.0,37
B,868,open,1.0,41
B,869,close,-1.0,47
B,870,open,1.0,68
B,871,close,-1.0,55
B,872,open,1.0,73
B,873,close,-1.0,70
B,874,open,1.0,39
B,875,close,-1.0,44
B,876,open,1.0,47
B,877,close,-1.0,60
B,878,open,1.0,64
B,879,close,-1.0,37
B,880,open,1.0,77
B,881,close,-1.0,41
B,882,open,1.0,13
B,883,close,-1.0,68
B,884,open,1.0,53
B,885,close,-1.0,59
B,886,open,1.0,65
B,887,close,-1.0,49
B,888,open,1.0,39
B,889,close,-1.0,69
B,890,open,1.0,48
B,891,close,-1.0,74
B,892,open,1.0,50
B,893,close,-1.0,88
B,894,open,1.0,75
B,895,close,-1.0,45
B,896,open,1.0,27
B,897,close,-1.0,40
B,898,open,1.0,97
B,899,close,-1.0,58
B,900,open,1.0,48
B,901,close,-1.0,50
B,902,open,1.0,49
B,903,close,-1.0,59
B,904,open,1.0,80
B,905,close,-1.0,59
B,906,open,1.0,40
B,907,close,-1.0,71
B,908,open,1.0,46
B,909,close,-1.0,44
B,910,open,1.0,25
B,911,close,-1.0,42
B,912,open,1.0,69
B,913,close,-1.0,60
B,914,open,1.0,49
B,915,close,-1.0,81
B,916,open,1.0,32
B,917,close,-1.0,78
B,918,open,1.0,59
B,919,close,-1.0,65
B,920,open,1.0,64
B,921,close,-1.0,33
B,922,open,1.0,125
B,923,close,-1.0,48
B,924,open,1.0,191
B,925,close,-1.0,47
B,926,open,1.0,27
B,927,close,-1.0,42
B,928,open,1.0,16
B,929,close,-1.0,61
B,930,open,1.0,125
B,931,close,-1.0,52
B,932,open,1.0,86
B,933,close,-1.0,54
B,934,open,1.0,17
B,935,close,-1.0,72
B,936,open,1.0,58
B,937,close,-1.0,71
B,938,open,1.0,27
B,939,close,-1.0,76
B,940,open,1.0,160
B,941,close,-1.0,45
B,942,open,1.0,121
B,943,close,-1.0,46
B,944,open,1.0,178
B,945,close,-1.0,30
B,946,open,1.0,12
B,947,close,-1.0,104
B,948,open,1.0,21
B,949,close,-1.0,80
B,950,open,1.0,12
B,951,close,-1.0,10
B,952,open,1.0,13
B,953,close,-1.0,19
B,954,open,1.0,17
B,955,close,-1.0,15
B,956,open,1.0,5
B,957,close,-1.0,40
B,958,open,1.0,35
B,959,close,-1.0,32
B,960,open,1.0,69
B,961,close,-1.0,38
B,962,open,1.0,10
B,963,close,-1.0,33
B,964,open,1.0,22
B,965,close,-1.0,43
B,966,open,1.0,51
B,967,close,-1.0,32
B,968,open,1.0,23
B,969,close,-1.0,33
B,970,open,1.0,30
B,971,close,-1.0,32
B,972,open,1.0,36
B,973,close,-1.0,35
B,974,open,1.0,9
B,975,close,-1.0,64
B,976,open,1.0,21
B,977,close,-1.0,43
B,978,open,1.0,57
B,979,close,-1.0,32
B,980,open,1.0,11
B,981,close,-1.0,33
B,982,open,1.0,190
B,983,close,-1.0,35
B,984,open,1.0,11
B,985,close,-1.0,56
B,986,open,1.0,14
B,987,close,-1.0,100
B,988,open,1.0,9
B,989,close,-1.0,38
B,990,open,1.0,42
B,991,close,-1.0,26
B,992,open,1.0,14
B,993,close,-1.0,79
B,994,open,1.0,22
B,995,close,-1.0,32
B,996,open,1.0,55
B,997,close,-1.0,39
B,998,open,1.0,50
B,999,close,-1.0,59
B,1000,open,1.0,95
B,1001,close,-1.0,25
B,1002,open,1.0,29
B,1003,close,-1.0,41
B,1004,open,1.0,119
B,1005,close,-1.0,33
B,1006,open,1.0,51
B,1007,close,-1.0,36
B,1008,open,1.0,14
B,1009,close,-1.0,31
B,1010,open,1.0,19
B,1011,close,-1.0,34
B,1012,open,1.0,78
B,1013,close,-1.0,27
B,1014,open,1.0,13
B,1015,close,-1.0,50
B,1016,open,1.0,14
B,1017,close,-1.0,56
B,1018,open,1.0,12
B,1019,close,-1.0,32
B,1020,open,1.0,126
B,1021,close,-1.0,32
B,1022,open,1.0,9
B,1023,close,-1.0,153
B,1024,open,1.0,11
B,1025,close,-1.0,38
B,1026,open,1.0,25
B,1027,close,-1.0,31
B,1028,open,1.0,28
B,1029,close,-1.0,37
B,1030,open,1.0,30
B,1031,close,-1.0,60
B,1032,open,1.0,35
B,1033,close,-1.0,46
B,1034,open,1.0,51
B,1035,close,-1.0,31
B,1036,open,1.0,11
B,1037,close,-1.0,47
B,1038,open,1.0,45
B,1039,close,-1.0,33
B,1040,open,1.0,15
B,1041,close,-1.0,29
B,1042,open,1.0,10
B,1043,close,-1.0,53
B,1044,open,1.0,37
B,1045,close,-1.0,33
B,1046,open,1.0,117
B,1047,close,-1.0,41
B,1048,open,1.0,9
B,1049,close,-1.0,77
B,1050,open,1.0,33
B,1051,close,-1.0,40
B,1052,open,1.0,23
B,1053,close,-1.0,55
B,1054,open,1.0,32
B,1055,close,-1.0,50
B,1056,open,1.0,39
B,1057,close,-1.0,50
B,1058,open,1.0,39
B,1059,close,-1.0,71
B,1060,open,1.0,11
B,1061,close,-1.0,27
B,1062,open,1.0,7
B,1063,close,-1.0,47
B,1064,open,1.0,36
B,1065,close,-1.0,28
B,1066,open,1.0,22
B,1067,close,-1.0,46
B,1068,open,1.0,31
B,1069,close,-1.0,42
B,1070,open,1.0,9
B,1071,close,-1.0,42
B,1072,open,1.0,74
B,1073,close,-1.0,41
B,1074,open,1.0,76
B,1075,close,-1.0,36
B,1076,open,1.0,17
B,1077,close,-1.0,36
B,1078,open,1.0,21
B,1079,close,-1.0,35
B,1080,open,1.0,12
B,1081,close,-1.0,50
B,1082,open,1.0,43
B,1083,close,-1.0,32
B,1084,open,1.0,10
B,1085,close,-1.0,70
B,1086,open,1.0,110
B,1087,close,-1.0,30
B,1088,open,1.0,17
B,1089,close,-1.0,59
B,1090,open,1.0,13
B,1091,close,-1.0,33
B,1092,open,1.0,23
B,1093,close,-1.0,40
B,1094,open,1.0,15
B,1095,close,-1.0,25
B,1096,open,1.0,22
B,1097,close,-1.0,101
B,1098,open,1.0,37
B,1099,close,-1.0,72
B,1100,open,1.0,25
B,1101,close,-1.0,64
B,1102,open,1.0,29
B,1103,close,-1.0,42
B,1104,open,1.0,70
B,1105,close,-1.0,47
B,1106,open,1.0,26
