bin,start_delta_index,end_delta_index,dx_mean_abs_delta,dy_mean_abs_delta,dz_mean_abs_delta,droll_mean_abs_delta,dpitch_mean_abs_delta,dyaw_mean_abs_delta,gripper_mean_abs_delta
32,514715,530800,0.03486041772543995,0.03272239245625747,0.03615855206020773,0.058005291829126324,0.04318868921598905,0.04960910863035833,0.043518806341311785
33,530800,546885,0.03935988623540831,0.03364217502231043,0.03973665371825139,0.060541988847872784,0.04572912101220662,0.05187863847487243,0.04501087970158533
34,546885,562970,0.04050698128099116,0.030317142356080053,0.03633141410915043,0.07186354780440844,0.05125444168722272,0.05951625179267683,0.03792353124028598
35,562970,579054,0.0390938537196936,0.03171920494274762,0.04117662791044428,0.07868506650326729,0.05577448788022938,0.06371794287880539,0.04016413827406118
36,579054,595139,0.03829743976557189,0.03140155984239694,0.03864770390160448,0.07733020607953794,0.05446205265567401,0.060591672337868385,0.037053155113459746
37,595139,611224,0.04997243794375576,0.03633982546344565,0.04914094597310656,0.09437822479784758,0.07145695005373202,0.08039940944430857,0.045383898041653714
38,611224,627309,0.04503082567019293,0.033678491200514485,0.04459685290839727,0.0810461537101991,0.06619230783557327,0.07256127476342364,0.03904258626049114
39,627309,643394,0.04381651042830913,0.032279399977214907,0.04501249807853206,0.09289562909877476,0.0674427679101465,0.07840205825824775,0.03767485234690705
40,643394,659479,0.04441029594593296,0.03337070829086526,0.045065863082609625,0.11394885963498942,0.06706342973920948,0.08153363983204927,0.046875971401927265
41,659479,675564,0.0542284010751702,0.04205481681707302,0.05882184055176821,0.15195209596360712,0.08055272698941751,0.09469841175118554,0.05769350326391048
42,675564,691648,0.05176813992948861,0.038675479187534494,0.054893544441503885,0.13753980132604976,0.08105685296884532,0.09082425711368616,0.05719970156677443
43,691648,707733,0.052384122426337346,0.04602705046772444,0.06501334856005782,0.13966160741390046,0.08753985598968914,0.09220046702706881,0.06042897109107864
44,707733,723818,0.05078555107238687,0.04193697308349048,0.054629623500773355,0.13080451919655342,0.08525130418443554,0.0922801843642828,0.05296860428971091
45,723818,739903,0.040818258420321045,0.030499418505835384,0.04242610149809318,0.08071999941530461,0.0622280076621707,0.06655946624426032,0.039664283493938454
46,739903,755988,0.03706546039415521,0.02747565677758,0.04019040587332158,0.07942395268126323,0.06072913345233529,0.06684666972333643,0.03257693503263911
47,755988,772073,0.03694676008259835,0.02994579027082242,0.04277101257093154,0.08415119463009763,0.06738978110149302,0.07027455270079673,0.03382032949953373
48,772073,788158,0.04109040978573675,0.03145407269466245,0.04330656043756249,0.08838453949365653,0.06310085167956882,0.07108731725285362,0.035561081753186195
49,788158,804243,0.04674117869298471,0.03753842048183908,0.054585738584173815,0.09965101253602371,0.07258204542802728,0.07665587072503134,0.05060615480261113
50,804243,820327,0.05121519524452953,0.04138121365991362,0.056564125536443424,0.10959325492441904,0.08236679877451829,0.08397936632395342,0.05881621487192241
51,820327,836412,0.05725116592619233,0.048733854712420706,0.06318240776540865,0.11660337809778003,0.08878235657223214,0.09007076154594695,0.05918557662418402
52,836412,852497,0.049231429974586245,0.04175859585762635,0.05118824025085668,0.09557912867804307,0.06985035361156071,0.07559301308008554,0.054958035436742304
53,852497,868582,0.037936551535728266,0.03321977860929369,0.040900659393496276,0.07274598019892563,0.051748949298015504,0.05741242120890222,0.045632576935032636
54,868582,884667,0.03781137564739801,0.0350020020171418,0.038188457890722186,0.07637206630100626,0.05107913118394737,0.058270268382405954,0.043518806341311785
55,884667,900752,0.037574094194810004,0.03369599446993553,0.0400226781126075,0.07428948193944114,0.05338004312875703,0.05912735128669205,0.04501087970158533
56,900752,916837,0.04172511934235241,0.03822851751698579,0.04188989517354873,0.07868506643591794,0.05705660286765374,0.06361083292047798,0.048243705315511344
57,916837,932921,0.04047783125699524,0.03784171028312681,0.044591879868931775,0.07968231824864072,0.05867723060006307,0.06429918892737815,0.049863218104949016
58,932921,949006,0.03766830888360033,0.03699353927729443,0.040318588702525554,0.07246844502577832,0.05308610941334791,0.05985873358869994,0.04861672365557973
59,949006,965091,0.04175976530765717,0.039440778306101716,0.04219504813886961,0.0770363456222909,0.056004317117409476,0.06359574871296393,0.04936276033571651
60,965091,981176,0.03957983326547056,0.03988549251961696,0.04436713450497527,0.07544802313063656,0.055870007293029725,0.060465180729730214,0.051103512589368974
61,981176,997261,0.040362709049638595,0.03484781914697078,0.04027210803965322,0.07222891697400809,0.054775023625040595,0.06127539269870063,0.04861672365557973
62,997261,1013346,0.03931957014153983,0.03594929148537417,0.04126720981826253,0.0762251407277578,0.056517551550294615,0.06128639053579248,0.05097917314267952
63,1013346,1029431,0.04164912966409905,0.03834852794557981,0.045142713229065705,0.08606518894128827,0.062415822240663894,0.06785428926006687,0.05371464096984768
64,1029431,1045515,0.04624722597793208,0.043186827485566286,0.049631654515265106,0.08822637896514658,0.06269339613620084,0.06737669316799623,0.05719970156677443
65,1045515,1061600,0.041988569715037886,0.03961461146796338,0.04543196460901645,0.08065637471729027,0.05980970637426279,0.06474646424347971,0.053590301523158225
66,1061600,1077685,0.04066335501050034,0.037774472026851025,0.04411984873957081,0.07946554804648522,0.05798723462842119,0.06224700093320447,0.0503574759092322
67,1077685,1093770,0.044791727646954306,0.03862203437330289,0.04418560074123147,0.08595941539702075,0.06219235585052502,0.06876797726900563,0.05085483369599005
68,1093770,1109855,0.04260737382835417,0.03545442084933392,0.04353379682887658,0.08541801457427584,0.06827801271158958,0.06979446994318773,0.04898974199564812
69,1109855,1125940,0.044124768866935116,0.038158820205490496,0.04600989562164489,0.08826546668386184,0.06569876210038324,0.07134586067367099,0.05172520982281629
70,1125940,1142025,0.04674337652604282,0.039917483692645875,0.0484417456478917,0.08796958039522691,0.06552520105565139,0.07060093494007148,0.05197388871619521
71,1142025,1158109,0.043249273676117146,0.0402069438155836,0.04604844936159233,0.08655920900904736,0.06480329836832732,0.06747232391033614,0.052101467296692364
72,1158109,1174194,0.044861421077475296,0.03834680761344662,0.04523462116083011,0.09517322205755335,0.07279865372848614,0.07385112044450157,0.0503574759092322
73,1174194,1190279,0.04490843601887927,0.040492527365190566,0.0468070860602051,0.08709381286450067,0.06515443425193443,0.06907793453305529,0.05184954926950575
74,1190279,1206364,0.045336561336127804,0.041132455342602535,0.04639227633065576,0.08898788604455866,0.068316445892893,0.07109016580032922,0.052098228162884674
75,1206364,1222449,0.04601325913170596,0.03831443557502568,0.04491147874957875,0.08209555844025142,0.0619791538350721,0.06491543083968546,0.04986011812247435
76,1222449,1238534,0.041419220822488195,0.0369810466219212,0.04351013253963428,0.08112834955903424,0.06250847781397541,0.06466946306713536,0.04811936586882189
77,1238534,1254619,0.044149358845086265,0.041134496530104585,0.04905422482827129,0.08496902563945655,0.0643430131505624,0.06710962503382528,0.05073049424930059
78,1254619,1270703,0.04624564791726772,0.04059130345935061,0.048729155537198275,0.0858423330361042,0.06461047739448277,0.06623189336290199,0.05185277294205422
79,1270703,1286788,0.045583415049321965,0.041526360834286596,0.04857089428868808,0.08767317287466249,0.06388485454312262,0.06634555464574528,0.0523469070562636
80,1286788,1302873,0.046348758691244565,0.04280734141163323,0.049797056952165686,0.0799875397325045,0.06207636342169569,0.06263592691528458,0.0513521914827479
81,1302873,1318958,0.048979722674263725,0.04277545163903488,0.05078258036464056,0.08729316402196265,0.06642607855033336,0.06780180495329746,0.05383898041653715
82,1318958,1335043,0.0481520491106175,0.041382814794263284,0.050367804509735596,0.08349886180197194,0.06440398943792548,0.0657306861541651,0.05271992539633199
83,1335043,1351128,0.0520918812132732,0.044698590599773796,0.05464246828745404,0.09263231207633679,0.07041382884403634,0.07128419786355115,0.05682312713708424
84,1351128,1367213,0.04800874060573724,0.046733233154570626,0.0501312910192541,0.08093754097963238,0.06404671398896565,0.0648181574491448,0.053590301523158225
85,1367213,1383297,0.029970827309208095,0.028913707864756413,0.03462877627700965,0.05619397747079742,0.0429469410969258,0.05134374962776003,0.042278040288485454
86,1383297,1399382,0.033194438519706826,0.03323281156178987,0.03876702824928838,0.0649766807277188,0.04856019042002137,0.05354104341501755,0.046627292508548336
87,1399382,1415467,0.031581784818605796,0.034331191440389965,0.03833783260676411,0.06234536396230449,0.047050199911265175,0.05212435568854017,0.045881255828411564
88,1415467,1431552,0.03494778178247369,0.03442039917781023,0.03912606083018071,0.06416628217575268,0.04856559584742549,0.05460271167962805,0.046875971401927265
89,1431552,1447637,0.035856977376259556,0.03499562960060843,0.041158646023752014,0.06844241804199648,0.050106453041019954,0.05403857720588898,0.04911408144233758
90,1447637,1463722,0.03547519531439235,0.037053249629453146,0.041787074927600844,0.06836659653131379,0.05034048694426307,0.054215834596057486,0.05010879701585328
91,1463722,1479807,0.03619303111583083,0.03424928786389461,0.039890115156752094,0.06133037616167987,0.0463919307293916,0.05021925046975233,0.049487099782405966
92,1479807,1495891,0.03876429665337122,0.03667126979101922,0.04190796829646534,0.07043951170719212,0.047993309682343346,0.05548429156841753,0.053344939069883114
93,1495891,1511976,0.036127353068500664,0.03608862631019755,0.04274717347924695,0.0693769071641151,0.050050610935800564,0.05622498210387029,0.052098228162884674
94,1511976,1528061,0.03926015076306601,0.037221176162092084,0.04221329662317731,0.06606008717248744,0.04952061325749581,0.054676411939063085,0.051600870376126824
95,1528061,1544146,0.033430262776901185,0.03104038118296682,0.03605161840131399,0.06315905178122695,0.046226387735353244,0.05351737874939209,0.0457569163817221
96,1544146,1560231,0.03449774980743821,0.03172749055351278,0.037244553290256895,0.06367941333293929,0.04761150761394754,0.05641201855968696,0.045383898041653714
97,1560231,1576316,0.03772662511783203,0.03251497301194412,0.039292370568441176,0.07190992339484847,0.052875786526349576,0.062231649295042525,0.04625427416847995
98,1576316,1592401,0.036245684647192314,0.030734773812358524,0.03900757926000571,0.06273610395419851,0.04826445243915316,0.05625518017097597,0.04799502642213242
99,1592401,1608486,0.0370839107492487,0.035526416243087784,0.0410671028271831,0.06518795146365354,0.05124838274537045,0.05799368324454104,0.04700031084861672
