model,display_name,sequence_idx,successful_subtasks,sequence
act_lang_B_100k,ACT-Lang-B 100k,47,0,turn_off_lightbulb -> push_pink_block_left -> move_slider_left -> open_drawer -> lift_pink_block_table
act_lang_B_100k,ACT-Lang-B 100k,48,0,lift_red_block_slider -> stack_block -> turn_on_led -> unstack_block -> lift_red_block_table
act_lang_B_100k,ACT-Lang-B 100k,49,1,rotate_blue_block_left -> move_slider_left -> open_drawer -> lift_red_block_slider -> place_in_drawer
act_lang_B_100k,ACT-Lang-B 100k,50,0,lift_red_block_table -> place_in_drawer -> rotate_blue_block_right -> lift_pink_block_slider -> stack_block
act_lang_B_100k,ACT-Lang-B 100k,51,1,open_drawer -> push_blue_block_right -> move_slider_left -> push_into_drawer -> lift_blue_block_drawer
act_lang_B_100k,ACT-Lang-B 100k,52,0,rotate_red_block_right -> lift_pink_block_slider -> stack_block -> turn_on_led -> open_drawer
act_lang_B_100k,ACT-Lang-B 100k,53,0,turn_on_led -> push_pink_block_left -> push_into_drawer -> lift_red_block_slider -> place_in_slider
act_lang_B_100k,ACT-Lang-B 100k,54,0,turn_on_led -> open_drawer -> rotate_pink_block_left -> lift_blue_block_table -> place_in_drawer
act_lang_B_100k,ACT-Lang-B 100k,55,0,turn_off_led -> close_drawer -> move_slider_left -> push_pink_block_right -> lift_red_block_slider
act_lang_B_100k,ACT-Lang-B 100k,56,1,close_drawer -> push_red_block_left -> lift_red_block_table -> stack_block -> turn_on_lightbulb
act_lang_B_100k,ACT-Lang-B 100k,57,1,move_slider_right -> push_into_drawer -> lift_red_block_slider -> place_in_slider -> lift_blue_block_drawer
act_lang_B_100k,ACT-Lang-B 100k,58,0,push_blue_block_left -> push_into_drawer -> lift_blue_block_drawer -> place_in_slider -> move_slider_right
act_lang_B_100k,ACT-Lang-B 100k,59,0,move_slider_right -> turn_off_lightbulb -> close_drawer -> rotate_blue_block_right -> lift_blue_block_table
act_lang_B_100k,ACT-Lang-B 100k,60,0,turn_off_lightbulb -> push_blue_block_left -> open_drawer -> move_slider_left -> lift_blue_block_table
act_lang_B_100k,ACT-Lang-B 100k,61,0,turn_on_lightbulb -> move_slider_left -> push_blue_block_right -> lift_blue_block_table -> stack_block
act_lang_B_100k,ACT-Lang-B 100k,62,0,push_blue_block_right -> move_slider_right -> turn_on_lightbulb -> lift_red_block_table -> stack_block
act_lang_B_100k,ACT-Lang-B 100k,63,0,rotate_pink_block_left -> turn_on_led -> lift_red_block_slider -> stack_block -> close_drawer
act_lang_B_100k,ACT-Lang-B 100k,64,0,move_slider_right -> lift_red_block_slider -> place_in_slider -> open_drawer -> turn_on_led
act_lang_B_100k,ACT-Lang-B 100k,65,0,open_drawer -> push_pink_block_right -> lift_red_block_table -> place_in_slider -> move_slider_right
act_lang_B_100k,ACT-Lang-B 100k,66,1,open_drawer -> turn_on_led -> move_slider_right -> lift_pink_block_table -> place_in_drawer
act_lang_B_100k,ACT-Lang-B 100k,67,3,rotate_pink_block_right -> lift_pink_block_table -> place_in_slider -> move_slider_right -> lift_blue_block_slider
act_lang_B_100k,ACT-Lang-B 100k,68,1,lift_pink_block_table -> stack_block -> unstack_block -> turn_on_lightbulb -> push_red_block_left
act_lang_B_100k,ACT-Lang-B 100k,69,0,push_pink_block_left -> lift_blue_block_table -> place_in_drawer -> close_drawer -> move_slider_right
act_lang_B_100k,ACT-Lang-B 100k,70,1,open_drawer -> turn_off_led -> push_pink_block_left -> move_slider_left -> lift_pink_block_table
act_lang_B_100k,ACT-Lang-B 100k,71,1,close_drawer -> rotate_blue_block_right -> turn_off_led -> move_slider_right -> lift_pink_block_slider
act_lang_B_100k,ACT-Lang-B 100k,72,1,open_drawer -> push_red_block_left -> turn_off_lightbulb -> lift_pink_block_slider -> place_in_slider
act_lang_B_100k,ACT-Lang-B 100k,73,0,move_slider_right -> push_pink_block_left -> lift_blue_block_slider -> place_in_drawer -> turn_off_led
act_lang_B_100k,ACT-Lang-B 100k,74,1,push_red_block_left -> turn_on_led -> lift_pink_block_slider -> place_in_drawer -> move_slider_right
act_lang_B_100k,ACT-Lang-B 100k,75,0,turn_off_lightbulb -> move_slider_right -> rotate_blue_block_right -> lift_blue_block_table -> stack_block
act_lang_B_100k,ACT-Lang-B 100k,76,0,move_slider_right -> rotate_pink_block_right -> lift_red_block_table -> stack_block -> open_drawer
act_lang_B_100k,ACT-Lang-B 100k,77,0,rotate_blue_block_left -> turn_off_lightbulb -> lift_pink_block_table -> place_in_slider -> lift_red_block_slider
act_lang_B_100k,ACT-Lang-B 100k,78,0,turn_off_led -> move_slider_left -> open_drawer -> rotate_blue_block_right -> lift_blue_block_table
act_lang_B_100k,ACT-Lang-B 100k,79,0,lift_blue_block_slider -> place_in_slider -> close_drawer -> push_pink_block_right -> move_slider_left
act_lang_B_100k,ACT-Lang-B 100k,80,0,rotate_red_block_left -> lift_pink_block_table -> stack_block -> open_drawer -> lift_blue_block_slider
act_lang_B_100k,ACT-Lang-B 100k,81,1,push_pink_block_left -> turn_on_lightbulb -> lift_pink_block_table -> place_in_drawer -> lift_red_block_slider
act_lang_B_100k,ACT-Lang-B 100k,82,1,open_drawer -> move_slider_right -> lift_red_block_slider -> place_in_drawer -> turn_off_lightbulb
act_lang_B_100k,ACT-Lang-B 100k,83,0,lift_red_block_slider -> place_in_drawer -> turn_on_led -> close_drawer -> lift_blue_block_table
act_lang_B_100k,ACT-Lang-B 100k,84,0,push_into_drawer -> lift_red_block_slider -> place_in_slider -> move_slider_right -> turn_off_led
act_lang_B_100k,ACT-Lang-B 100k,85,0,move_slider_right -> push_red_block_left -> turn_off_lightbulb -> lift_blue_block_slider -> stack_block
act_lang_B_100k,ACT-Lang-B 100k,86,3,lift_pink_block_slider -> place_in_slider -> open_drawer -> turn_on_lightbulb -> lift_blue_block_table
act_lang_B_100k,ACT-Lang-B 100k,87,1,move_slider_right -> turn_on_led -> lift_pink_block_slider -> place_in_drawer -> lift_pink_block_drawer
act_lang_B_100k,ACT-Lang-B 100k,88,2,push_pink_block_right -> close_drawer -> lift_red_block_slider -> stack_block -> move_slider_right
act_lang_B_100k,ACT-Lang-B 100k,89,2,push_blue_block_left -> close_drawer -> turn_off_lightbulb -> lift_blue_block_table -> place_in_slider
act_lang_B_100k,ACT-Lang-B 100k,90,1,close_drawer -> lift_red_block_slider -> place_in_slider -> push_blue_block_left -> turn_off_lightbulb
act_lang_B_100k,ACT-Lang-B 100k,91,0,rotate_blue_block_left -> turn_off_lightbulb -> move_slider_right -> open_drawer -> lift_red_block_slider
act_lang_B_100k,ACT-Lang-B 100k,92,0,turn_on_led -> rotate_blue_block_right -> lift_blue_block_table -> stack_block -> lift_red_block_slider
act_lang_B_100k,ACT-Lang-B 100k,93,0,open_drawer -> turn_off_led -> push_pink_block_right -> move_slider_right -> push_into_drawer
act_lang_B_100k,ACT-Lang-B 100k,94,1,push_pink_block_right -> lift_blue_block_slider -> place_in_slider -> turn_on_lightbulb -> move_slider_right
act_lang_B_100k,ACT-Lang-B 100k,95,0,rotate_pink_block_right -> move_slider_left -> close_drawer -> turn_off_led -> lift_pink_block_table
act_lang_B_100k,ACT-Lang-B 100k,96,1,close_drawer -> move_slider_right -> turn_on_led -> rotate_red_block_left -> lift_red_block_table
act_lang_B_100k,ACT-Lang-B 100k,97,0,lift_pink_block_table -> stack_block -> turn_on_lightbulb -> unstack_block -> push_pink_block_left
act_lang_B_100k,ACT-Lang-B 100k,98,1,close_drawer -> move_slider_left -> rotate_pink_block_left -> turn_on_led -> lift_red_block_slider
act_lang_B_100k,ACT-Lang-B 100k,99,0,move_slider_left -> push_red_block_right -> push_into_drawer -> turn_on_led -> close_drawer
act_lang_B_100k,ACT-Lang-B 100k,100,0,rotate_red_block_right -> turn_on_lightbulb -> move_slider_right -> open_drawer -> lift_blue_block_table
act_lang_B_100k,ACT-Lang-B 100k,101,0,open_drawer -> rotate_red_block_left -> move_slider_left -> turn_off_lightbulb -> lift_red_block_table
act_lang_B_100k,ACT-Lang-B 100k,102,0,move_slider_left -> rotate_blue_block_left -> lift_blue_block_table -> place_in_drawer -> lift_blue_block_drawer
act_lang_B_100k,ACT-Lang-B 100k,103,0,open_drawer -> rotate_blue_block_left -> push_into_drawer -> lift_red_block_slider -> place_in_drawer
act_lang_B_100k,ACT-Lang-B 100k,104,0,push_red_block_right -> lift_pink_block_table -> stack_block -> move_slider_right -> lift_blue_block_slider
act_lang_B_100k,ACT-Lang-B 100k,105,0,turn_on_led -> open_drawer -> lift_pink_block_slider -> place_in_drawer -> lift_blue_block_table
act_lang_B_100k,ACT-Lang-B 100k,106,0,turn_off_led -> rotate_pink_block_left -> lift_red_block_slider -> place_in_drawer -> close_drawer
act_lang_B_100k,ACT-Lang-B 100k,107,0,open_drawer -> turn_on_lightbulb -> lift_pink_block_slider -> place_in_drawer -> push_red_block_right
act_lang_B_100k,ACT-Lang-B 100k,108,0,move_slider_left -> push_red_block_right -> open_drawer -> turn_off_led -> push_into_drawer
act_lang_B_100k,ACT-Lang-B 100k,109,0,turn_off_lightbulb -> push_red_block_right -> lift_blue_block_slider -> place_in_drawer -> move_slider_right
act_lang_B_100k,ACT-Lang-B 100k,110,0,push_pink_block_right -> lift_pink_block_table -> place_in_slider -> turn_on_lightbulb -> lift_blue_block_slider
act_lang_B_100k,ACT-Lang-B 100k,111,1,lift_red_block_table -> place_in_slider -> push_pink_block_right -> close_drawer -> turn_on_led
act_lang_B_100k,ACT-Lang-B 100k,112,0,move_slider_left -> push_blue_block_right -> lift_pink_block_slider -> place_in_drawer -> turn_on_lightbulb
act_lang_B_100k,ACT-Lang-B 100k,113,1,push_red_block_right -> move_slider_right -> lift_blue_block_table -> place_in_slider -> close_drawer
act_lang_B_100k,ACT-Lang-B 100k,114,0,rotate_blue_block_right -> open_drawer -> turn_on_lightbulb -> move_slider_left -> lift_blue_block_table
act_lang_B_100k,ACT-Lang-B 100k,115,1,lift_red_block_slider -> place_in_drawer -> turn_on_led -> move_slider_right -> lift_red_block_drawer
act_lang_B_100k,ACT-Lang-B 100k,116,2,push_pink_block_left -> close_drawer -> lift_blue_block_table -> place_in_slider -> turn_on_led
act_lang_B_100k,ACT-Lang-B 100k,117,0,push_red_block_left -> move_slider_left -> open_drawer -> lift_pink_block_slider -> stack_block
act_lang_B_100k,ACT-Lang-B 100k,118,0,push_pink_block_right -> lift_blue_block_slider -> place_in_drawer -> turn_on_led -> close_drawer
act_lang_B_100k,ACT-Lang-B 100k,119,0,rotate_red_block_left -> lift_pink_block_slider -> stack_block -> unstack_block -> lift_red_block_table
act_lang_B_100k,ACT-Lang-B 100k,120,1,move_slider_right -> push_blue_block_right -> turn_off_lightbulb -> push_into_drawer -> lift_red_block_slider
act_lang_B_100k,ACT-Lang-B 100k,121,0,open_drawer -> lift_pink_block_table -> place_in_slider -> move_slider_left -> rotate_red_block_right
act_lang_B_100k,ACT-Lang-B 100k,122,0,turn_off_led -> open_drawer -> rotate_red_block_left -> lift_red_block_table -> stack_block
act_lang_B_100k,ACT-Lang-B 100k,123,2,rotate_pink_block_left -> close_drawer -> turn_on_led -> move_slider_left -> lift_red_block_slider
act_lang_B_100k,ACT-Lang-B 100k,124,0,move_slider_right -> lift_red_block_table -> place_in_drawer -> rotate_blue_block_left -> turn_off_led
act_lang_B_100k,ACT-Lang-B 100k,125,0,open_drawer -> push_blue_block_left -> move_slider_left -> turn_on_lightbulb -> lift_pink_block_slider
act_lang_B_100k,ACT-Lang-B 100k,126,0,push_pink_block_left -> move_slider_left -> lift_pink_block_table -> place_in_slider -> turn_off_lightbulb
act_lang_B_100k,ACT-Lang-B 100k,127,0,rotate_pink_block_right -> close_drawer -> turn_off_lightbulb -> lift_blue_block_table -> place_in_slider
act_lang_B_100k,ACT-Lang-B 100k,128,1,open_drawer -> turn_on_led -> push_red_block_right -> move_slider_left -> lift_pink_block_slider
act_lang_B_100k,ACT-Lang-B 100k,129,0,turn_off_led -> lift_blue_block_slider -> stack_block -> move_slider_right -> unstack_block
act_lang_B_100k,ACT-Lang-B 100k,130,0,lift_blue_block_slider -> stack_block -> unstack_block -> move_slider_left -> rotate_blue_block_left
act_lang_B_100k,ACT-Lang-B 100k,131,0,lift_red_block_slider -> stack_block -> close_drawer -> unstack_block -> push_red_block_left
act_lang_B_100k,ACT-Lang-B 100k,132,0,move_slider_left -> push_blue_block_right -> push_into_drawer -> close_drawer -> lift_pink_block_slider
act_lang_B_100k,ACT-Lang-B 100k,133,1,close_drawer -> push_red_block_left -> lift_pink_block_slider -> stack_block -> turn_on_lightbulb
act_lang_B_100k,ACT-Lang-B 100k,134,2,lift_blue_block_slider -> place_in_drawer -> turn_off_led -> push_red_block_left -> move_slider_right
act_lang_B_100k,ACT-Lang-B 100k,135,0,push_into_drawer -> lift_pink_block_slider -> place_in_drawer -> close_drawer -> turn_on_lightbulb
act_lang_B_100k,ACT-Lang-B 100k,136,0,lift_blue_block_slider -> place_in_slider -> turn_off_led -> move_slider_left -> rotate_pink_block_left
act_lang_B_100k,ACT-Lang-B 100k,137,1,open_drawer -> turn_on_led -> lift_blue_block_table -> place_in_slider -> push_pink_block_right
act_lang_B_100k,ACT-Lang-B 100k,138,1,push_red_block_left -> move_slider_left -> turn_on_lightbulb -> lift_blue_block_table -> place_in_slider
act_lang_B_100k,ACT-Lang-B 100k,139,0,rotate_red_block_left -> open_drawer -> lift_blue_block_table -> place_in_slider -> move_slider_left
act_lang_B_100k,ACT-Lang-B 100k,140,0,move_slider_left -> lift_pink_block_table -> place_in_slider -> close_drawer -> turn_off_lightbulb
act_lang_B_100k,ACT-Lang-B 100k,141,0,turn_on_led -> lift_pink_block_table -> place_in_slider -> rotate_red_block_left -> close_drawer
act_lang_B_100k,ACT-Lang-B 100k,142,0,turn_on_lightbulb -> move_slider_left -> push_blue_block_left -> push_into_drawer -> lift_red_block_slider
act_lang_B_100k,ACT-Lang-B 100k,143,0,turn_off_led -> move_slider_left -> push_red_block_left -> lift_red_block_table -> stack_block
act_lang_B_100k,ACT-Lang-B 100k,144,0,rotate_red_block_right -> turn_on_lightbulb -> lift_pink_block_slider -> stack_block -> move_slider_right
act_lang_B_100k,ACT-Lang-B 100k,145,0,rotate_pink_block_right -> close_drawer -> move_slider_right -> lift_red_block_slider -> stack_block
act_lang_B_100k,ACT-Lang-B 100k,146,0,move_slider_right -> lift_blue_block_slider -> place_in_slider -> rotate_red_block_left -> lift_red_block_table
act_lang_B_100k,ACT-Lang-B 100k,147,0,push_pink_block_right -> turn_on_led -> move_slider_left -> push_into_drawer -> lift_red_block_slider
act_lang_B_100k,ACT-Lang-B 100k,148,0,turn_on_led -> push_pink_block_right -> lift_pink_block_table -> place_in_drawer -> close_drawer
act_lang_B_100k,ACT-Lang-B 100k,149,0,lift_blue_block_table -> place_in_slider -> turn_on_lightbulb -> push_pink_block_right -> open_drawer
act_lang_B_100k,ACT-Lang-B 100k,150,0,turn_on_lightbulb -> open_drawer -> push_into_drawer -> lift_red_block_drawer -> place_in_slider
act_lang_B_100k,ACT-Lang-B 100k,151,0,push_into_drawer -> lift_blue_block_drawer -> place_in_slider -> move_slider_right -> turn_on_led
act_lang_B_100k,ACT-Lang-B 100k,152,1,open_drawer -> turn_on_led -> rotate_red_block_left -> lift_blue_block_slider -> place_in_drawer
act_lang_B_100k,ACT-Lang-B 100k,153,0,turn_on_led -> rotate_red_block_left -> open_drawer -> lift_blue_block_table -> place_in_drawer
act_lang_B_100k,ACT-Lang-B 100k,154,0,turn_on_lightbulb -> rotate_pink_block_right -> lift_blue_block_slider -> place_in_drawer -> close_drawer
act_lang_B_100k,ACT-Lang-B 100k,155,0,turn_off_led -> push_into_drawer -> lift_blue_block_drawer -> place_in_drawer -> lift_red_block_slider
act_lang_B_100k,ACT-Lang-B 100k,156,0,turn_off_led -> lift_pink_block_slider -> place_in_slider -> rotate_blue_block_right -> move_slider_right
act_lang_B_100k,ACT-Lang-B 100k,157,3,push_pink_block_right -> open_drawer -> lift_blue_block_slider -> stack_block -> unstack_block
act_lang_B_100k,ACT-Lang-B 100k,158,0,lift_blue_block_slider -> place_in_drawer -> move_slider_left -> rotate_red_block_right -> lift_blue_block_drawer
act_lang_B_100k,ACT-Lang-B 100k,159,0,push_pink_block_right -> move_slider_left -> turn_off_led -> push_into_drawer -> lift_pink_block_drawer
act_lang_B_100k,ACT-Lang-B 100k,160,1,close_drawer -> rotate_red_block_right -> lift_red_block_table -> stack_block -> turn_on_led
act_lang_B_100k,ACT-Lang-B 100k,161,0,lift_red_block_table -> stack_block -> unstack_block -> rotate_red_block_right -> close_drawer
act_lang_B_100k,ACT-Lang-B 100k,162,0,move_slider_right -> rotate_blue_block_right -> lift_blue_block_table -> place_in_drawer -> lift_red_block_slider
act_lang_B_100k,ACT-Lang-B 100k,163,2,rotate_blue_block_left -> open_drawer -> turn_on_lightbulb -> lift_pink_block_table -> stack_block
act_lang_B_100k,ACT-Lang-B 100k,164,0,lift_blue_block_slider -> place_in_drawer -> close_drawer -> turn_off_lightbulb -> move_slider_left
act_lang_B_100k,ACT-Lang-B 100k,165,0,rotate_blue_block_right -> open_drawer -> turn_off_led -> move_slider_right -> lift_blue_block_table
act_lang_B_100k,ACT-Lang-B 100k,166,1,close_drawer -> turn_on_led -> push_blue_block_left -> lift_blue_block_table -> place_in_slider
act_lang_B_100k,ACT-Lang-B 100k,167,0,open_drawer -> push_pink_block_right -> lift_blue_block_slider -> place_in_slider -> move_slider_left
act_lang_B_100k,ACT-Lang-B 100k,168,0,move_slider_right -> rotate_red_block_right -> turn_off_led -> lift_red_block_table -> stack_block
act_lang_B_100k,ACT-Lang-B 100k,169,0,push_pink_block_right -> lift_red_block_table -> stack_block -> move_slider_left -> unstack_block
act_lang_B_100k,ACT-Lang-B 100k,170,0,open_drawer -> turn_on_led -> push_into_drawer -> lift_red_block_drawer -> place_in_drawer
act_lang_B_100k,ACT-Lang-B 100k,171,0,turn_off_lightbulb -> push_blue_block_left -> move_slider_right -> close_drawer -> lift_blue_block_table
act_lang_B_100k,ACT-Lang-B 100k,172,2,push_blue_block_left -> open_drawer -> move_slider_left -> push_into_drawer -> turn_off_lightbulb
act_lang_B_100k,ACT-Lang-B 100k,173,0,rotate_blue_block_left -> turn_on_lightbulb -> lift_blue_block_table -> place_in_slider -> move_slider_right
act_lang_B_100k,ACT-Lang-B 100k,174,0,lift_red_block_table -> stack_block -> close_drawer -> turn_off_lightbulb -> unstack_block
act_lang_B_100k,ACT-Lang-B 100k,175,0,push_pink_block_right -> lift_red_block_slider -> place_in_slider -> lift_pink_block_table -> stack_block
act_lang_B_100k,ACT-Lang-B 100k,176,0,turn_off_led -> push_blue_block_left -> push_into_drawer -> move_slider_right -> lift_blue_block_drawer
act_lang_B_100k,ACT-Lang-B 100k,177,0,rotate_red_block_left -> move_slider_right -> turn_on_lightbulb -> lift_pink_block_table -> place_in_slider
act_lang_B_100k,ACT-Lang-B 100k,178,0,turn_off_led -> open_drawer -> move_slider_right -> lift_blue_block_table -> stack_block
act_lang_B_100k,ACT-Lang-B 100k,179,0,turn_off_lightbulb -> move_slider_right -> lift_blue_block_table -> stack_block -> lift_pink_block_slider
act_lang_B_100k,ACT-Lang-B 100k,180,1,push_red_block_left -> turn_on_lightbulb -> open_drawer -> lift_blue_block_table -> place_in_drawer
act_lang_B_100k,ACT-Lang-B 100k,181,0,open_drawer -> rotate_red_block_right -> lift_blue_block_table -> place_in_slider -> turn_off_lightbulb
act_lang_B_100k,ACT-Lang-B 100k,182,0,turn_off_lightbulb -> move_slider_right -> lift_pink_block_table -> place_in_slider -> lift_red_block_slider
act_lang_B_100k,ACT-Lang-B 100k,183,0,move_slider_right -> turn_on_led -> rotate_blue_block_right -> close_drawer -> lift_pink_block_slider
act_lang_B_100k,ACT-Lang-B 100k,184,1,rotate_blue_block_left -> move_slider_left -> lift_blue_block_table -> place_in_slider -> lift_red_block_slider
act_lang_B_100k,ACT-Lang-B 100k,185,0,move_slider_right -> push_pink_block_right -> close_drawer -> turn_off_lightbulb -> lift_blue_block_table
act_lang_B_100k,ACT-Lang-B 100k,186,0,turn_off_led -> open_drawer -> move_slider_right -> rotate_pink_block_left -> lift_pink_block_table
act_lang_B_100k,ACT-Lang-B 100k,187,0,move_slider_right -> rotate_red_block_right -> lift_pink_block_slider -> place_in_slider -> lift_red_block_table
act_lang_B_100k,ACT-Lang-B 100k,188,0,turn_on_led -> move_slider_right -> rotate_pink_block_left -> open_drawer -> push_into_drawer
act_lang_B_100k,ACT-Lang-B 100k,189,0,push_red_block_left -> lift_pink_block_table -> place_in_slider -> open_drawer -> turn_off_led
act_lang_B_100k,ACT-Lang-B 100k,190,1,push_blue_block_right -> turn_on_lightbulb -> open_drawer -> lift_blue_block_table -> place_in_drawer
act_lang_B_100k,ACT-Lang-B 100k,191,0,turn_off_lightbulb -> move_slider_left -> rotate_pink_block_right -> close_drawer -> lift_blue_block_slider
act_lang_B_100k,ACT-Lang-B 100k,192,0,lift_red_block_table -> place_in_drawer -> close_drawer -> rotate_pink_block_left -> move_slider_left
